,l1,l2,l3,s1,s2,s3
0,0,0,0,2,2,0
1,1,0,0,4,3,0
2,1,1,0,0,2,0
3,1,0,0,1,0,0
4,0,1,0,0,0,0
5,0,0,0,1,1,0
6,0,0,0,0,0,0
7,0,0,1,0,1,0
8,1,0,0,2,0,0
9,2,2,0,0,1,0
10,1,1,0,2,-1,0
11,2,1,0,0,2,0
12,0,0,0,3,0,0
13,2,0,0,2,3,0
14,0,0,0,1,1,0
15,0,1,0,0,1,0
16,0,0,0,0,0,0
17,0,0,0,1,2,0
18,1,0,0,3,2,0
19,2,2,0,1,2,0
20,0,0,0,2,2,0
21,0,0,0,2,1,0
22,2,0,0,2,2,0
23,0,1,0,1,2,0
24,0,0,0,2,2,0
25,1,0,0,1,1,0
26,0,1,0,3,-1,0
27,1,0,0,0,0,0
28,0,0,0,3,1,0
29,0,1,0,1,2,0
30,1,0,0,2,1,0
31,0,0,0,0,1,0
32,0,0,0,2,-2,0
33,0,1,0,0,2,0
34,0,0,0,3,0,0
35,0,1,0,0,2,0
36,2,1,0,1,1,0
37,1,1,0,0,2,0
38,0,0,0,2,1,0
39,0,2,0,0,1,0
40,1,0,0,1,1,0
41,1,0,0,4,1,0
42,2,0,0,1,1,0
43,0,2,0,-1,0,0
44,0,0,0,0,1,0
45,0,0,0,0,1,0
46,0,0,0,5,2,0
47,1,0,0,-2,0,0
48,0,0,0,-1,1,0
49,1,0,0,2,0,0
50,0,0,0,0,0,0
51,1,1,0,2,4,0
52,0,0,0,0,1,0
53,1,2,0,1,2,0
54,0,0,0,-1,1,0
55,1,0,0,0,3,0
56,0,0,0,3,0,0
57,0,0,0,2,0,0
58,-1,1,0,3,-1,0
59,0,1,0,-1,0,0
60,1,0,0,1,2,0
61,0,0,0,0,0,0
62,0,0,0,2,0,0
63,0,2,0,2,1,0
64,1,0,0,0,1,0
65,1,0,0,1,2,0
66,1,1,0,1,-1,0
67,0,1,0,0,1,0
68,0,0,0,1,0,0
69,1,1,0,2,0,0
70,0,1,0,1,0,0
71,0,1,0,4,1,0
72,1,0,0,1,1,0
73,1,0,0,1,0,0
74,0,0,0,3,0,0
75,1,1,0,0,-1,0
76,0,2,0,6,0,0
77,0,1,0,1,2,0
78,0,2,0,2,2,0
79,1,1,0,3,2,0
80,1,0,1,5,1,0
81,1,1,1,1,2,0
82,1,0,0,2,3,0
83,0,0,0,3,3,0
84,0,1,0,2,2,0
85,1,0,0,1,1,0
86,0,0,0,3,1,0
87,1,0,0,4,1,0
88,1,0,0,6,0,0
89,3,1,0,1,0,0
90,0,3,0,1,1,0
91,1,2,0,-1,3,0
92,2,0,0,1,1,0
93,0,0,0,0,-1,0
94,2,0,0,0,1,0
95,1,0,1,2,1,0
96,0,0,0,1,0,0
97,0,1,0,-1,0,0
98,0,0,0,2,0,0
99,0,0,0,1,1,0
100,1,0,0,1,1,0
101,1,0,0,3,1,0
102,1,0,0,2,2,0
103,2,0,0,3,1,0
104,2,0,0,0,0,0
105,1,0,0,0,-1,0
106,1,1,0,3,2,0
107,0,0,0,1,1,0
108,0,0,0,-2,0,0
109,1,2,0,0,0,0
110,0,0,0,2,0,0
111,0,1,0,3,-1,0
112,1,1,0,-3,0,0
113,0,0,0,2,2,0
114,0,3,1,-1,1,0
115,0,0,0,-1,-1,0
116,1,0,0,3,1,0
117,0,2,0,0,0,0
118,0,0,0,2,1,0
119,0,0,1,3,0,0
120,2,0,0,1,0,0
121,0,1,0,4,1,0
122,1,2,0,3,0,0
123,0,1,0,0,0,0
124,1,0,0,1,0,0
125,1,0,0,2,2,0
126,0,1,0,1,0,0
127,1,0,0,-2,2,0
128,1,0,0,1,1,0
129,0,0,0,2,0,0
130,0,0,0,3,1,0
131,0,0,0,4,1,0
132,1,1,0,1,0,0
133,0,3,0,1,2,0
134,0,0,1,1,0,0
135,0,0,0,1,1,0
136,0,0,0,1,2,0
137,0,0,0,2,2,0
138,0,0,0,2,0,0
139,1,0,0,0,-1,0
140,1,1,0,1,0,0
141,0,1,0,0,1,0
142,0,2,0,1,0,0
143,1,2,0,0,0,0
144,0,0,0,0,0,0
145,1,1,0,1,2,0
146,2,1,0,3,3,0
147,0,1,0,2,3,0
148,0,0,0,-1,0,0
149,0,0,0,3,2,0
150,0,1,0,2,0,0
151,0,0,0,-1,1,0
152,3,2,0,2,1,0
153,0,1,0,4,2,0
154,1,1,0,-1,0,0
155,0,0,0,1,1,0
156,0,1,1,0,0,0
