,受入数0の回数
法学部,0
経済学部,0
A群（思想文化）,0
B群（歴史文化_日本史学）,5
C群（歴史文化_東洋史学）,4
D群（歴史文化_西洋史学）,0
E群（歴史文化_考古学）,72
F群（歴史文化_美術史学）,21
G群（言語文化）,0
H群（心理学）,0
I群（社会心理学）,0
J群（社会学）,0
基礎教育学,0
比較教育社会学,0
教育実践・政策学,0
教育心理学,0
身体教育学,8
薬学部,0
医学,0
健康総合科学,1
超域文化科学,0
地域文化研究,0
総合社会科学,0
数理自然科学,0
物質基礎科学,0
統合生命科学,0
認知行動科学,0
Ａ 群,0
Ｂ 群,0
教養学科国際日本研究コース,285
学際科学科国際環境学コース,296
生命化学・工学,0
応用生物学,24
森林生物科学,309
水圏生物科学,0
動物生命システム科学,0
生物素材化学,0
緑地環境学,0
森林環境資源科学,1
木質構造科学,0
生物・環境工学,1
農業・資源経済学,0
フィールド科学,0
国際開発農学,0
獣医学課程獣医学,3
社会基盤学Ａ（設計・技術戦略）,0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0
社会基盤学Ｃ（国際プロジェクト）,0
建築学,0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0
機械工学B,0
航空宇宙学,0
精密工学,0
電子情報工学,0
電気電子工学,0
応用物理・物理工学,0
計数工学・数理/ｼｽﾃﾑ情報,0
マテリアル工学A,0
マテリアル工学B,0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0
応用化学,2
化学システム工学,0
化学生命工学,0
システム創成A,0
システム創成B,0
システム創成C,0
数学,0
情報科学,0
物理学,0
天文学,0
地球惑星物理学,0
地球惑星環境学,0
化学,0
生物化学,0
生物情報科学,0
生物学,0
