,受入数
法学部,122.652
経済学部,100.354
A群（思想文化）,17.573
B群（歴史文化_日本史学）,5.353
C群（歴史文化_東洋史学）,4.796
D群（歴史文化_西洋史学）,7.585
E群（歴史文化_考古学）,2.425
F群（歴史文化_美術史学）,3.398
G群（言語文化）,24.539
H群（心理学）,6.0
I群（社会心理学）,5.598
J群（社会学）,16.0
基礎教育学,5.47
比較教育社会学,5.0
教育実践・政策学,7.946
教育心理学,6.989
身体教育学,4.263
薬学部,24.682
医学,35.891
健康総合科学,8.216
超域文化科学,11.953
地域文化研究,9.479
総合社会科学,9.916
数理自然科学,2.0
物質基礎科学,8.0
統合生命科学,7.277
認知行動科学,1.999
Ａ 群,4.952
Ｂ 群,3.998
教養学科国際日本研究コース,1.184
学際科学科国際環境学コース,1.492
生命化学・工学,20.093
応用生物学,5.841
森林生物科学,1.795
水圏生物科学,6.0
動物生命システム科学,4.0
生物素材化学,5.984
緑地環境学,2.0
森林環境資源科学,8.08
木質構造科学,3.0
生物・環境工学,9.551
農業・資源経済学,12.274
フィールド科学,3.0
国際開発農学,8.0
獣医学課程獣医学,6.66
社会基盤学Ａ（設計・技術戦略）,6.98
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,5.998
社会基盤学Ｃ（国際プロジェクト）,2.997
建築学,17.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,7.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,10.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,31.0
機械工学B,13.0
航空宇宙学,17.999
精密工学,14.0
電子情報工学,23.999
電気電子工学,23.996
応用物理・物理工学,17.0
計数工学・数理/ｼｽﾃﾑ情報,21.0
マテリアル工学A,12.154
マテリアル工学B,9.884
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,9.0
応用化学,7.916
化学システム工学,13.877
化学生命工学,11.886
システム創成A,11.141
システム創成B,11.0
システム創成C,14.0
数学,13.0
情報科学,10.0
物理学,21.0
天文学,4.0
地球惑星物理学,10.0
地球惑星環境学,6.0
化学,13.0
生物化学,6.0
生物情報科学,5.0
生物学,10.0
