,受入数
法学部,84.864
経済学部,70.346
A群（思想文化）,4.938
B群（歴史文化_日本史学）,1.563
C群（歴史文化_東洋史学）,0.069
D群（歴史文化_西洋史学）,1.29
E群（歴史文化_考古学）,0.637
F群（歴史文化_美術史学）,1.815
G群（言語文化）,8.481
H群（心理学）,2.0
I群（社会心理学）,2.384
J群（社会学）,9.0
基礎教育学,2.485
比較教育社会学,3.0
教育実践・政策学,3.983
教育心理学,5.976
身体教育学,0.0
薬学部,17.769
医学,34.84
健康総合科学,4.198
超域文化科学,10.899
地域文化研究,6.96
総合社会科学,8.809
数理自然科学,2.0
物質基礎科学,8.0
統合生命科学,5.523
認知行動科学,1.999
Ａ 群,4.892
Ｂ 群,3.996
教養学科国際日本研究コース,0.0
学際科学科国際環境学コース,0.0
生命化学・工学,14.003
応用生物学,4.053
森林生物科学,0.962
水圏生物科学,5.993
動物生命システム科学,3.0
生物素材化学,5.929
緑地環境学,2.0
森林環境資源科学,0.998
木質構造科学,3.0
生物・環境工学,7.094
農業・資源経済学,12.039
フィールド科学,1.998
国際開発農学,3.0
獣医学課程獣医学,5.293
社会基盤学Ａ（設計・技術戦略）,6.97
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,5.995
社会基盤学Ｃ（国際プロジェクト）,2.997
建築学,14.998
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,5.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,10.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,31.0
機械工学B,13.0
航空宇宙学,17.999
精密工学,11.0
電子情報工学,13.995
電気電子工学,23.809
応用物理・物理工学,12.0
計数工学・数理/ｼｽﾃﾑ情報,18.0
マテリアル工学A,9.175
マテリアル工学B,7.251
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,9.0
応用化学,5.375
化学システム工学,9.548
化学生命工学,9.513
システム創成A,7.009
システム創成B,11.0
システム創成C,14.0
数学,0.0
情報科学,0.0
物理学,0.0
天文学,0.0
地球惑星物理学,0.0
地球惑星環境学,4.0
化学,13.0
生物化学,6.0
生物情報科学,5.0
生物学,0.0
