,定員充足率
法学部,95.06535433070867
経済学部,91.5803738317757
A群（思想文化）,82.4952380952381
B群（歴史文化_日本史学）,56.290909090909096
C群（歴史文化_東洋史学）,32.24736842105263
D群（歴史文化_西洋史学）,58.300000000000004
E群（歴史文化_考古学）,8.097619047619046
F群（歴史文化_美術史学）,21.4
G群（言語文化）,61.43846153846154
H群（心理学）,100.0
I群（社会心理学）,96.3
J群（社会学）,99.99375
基礎教育学,76.58571428571429
比較教育社会学,100.0
教育実践・政策学,98.8375
教育心理学,99.77142857142857
身体教育学,54.42
薬学部,81.57096774193548
医学,99.58611111111111
健康総合科学,26.88709677419355
超域文化科学,99.85833333333333
地域文化研究,85.21818181818183
総合社会科学,99.60000000000001
数理自然科学,100.0
物質基礎科学,100.0
統合生命科学,99.74444444444445
認知行動科学,100.0
Ａ 群,99.66
Ｂ 群,99.95
教養学科国際日本研究コース,35.925000000000004
学際科学科国際環境学コース,41.15
生命化学・工学,65.19375
応用生物学,46.53076923076924
森林生物科学,33.11666666666667
水圏生物科学,99.93333333333334
動物生命システム科学,100.0
生物素材化学,99.78333333333335
緑地環境学,100.0
森林環境資源科学,84.38181818181819
木質構造科学,100.0
生物・環境工学,29.36111111111111
農業・資源経済学,94.54615384615386
フィールド科学,100.0
国際開発農学,100.0
獣医学課程獣医学,83.6
社会基盤学Ａ（設計・技術戦略）,99.31428571428572
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,99.60000000000001
社会基盤学Ｃ（国際プロジェクト）,99.83333333333333
建築学,100.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,100.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,100.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,100.0
機械工学B,100.0
航空宇宙学,99.88888888888889
精密工学,100.0
電子情報工学,100.0
電気電子工学,100.0
応用物理・物理工学,100.0
計数工学・数理/ｼｽﾃﾑ情報,100.0
マテリアル工学A,73.94545454545455
マテリアル工学B,92.36470588235295
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,100.0
応用化学,36.215384615384615
化学システム工学,63.58947368421053
化学生命工学,76.5
システム創成A,68.45882352941176
システム創成B,100.0
システム創成C,100.0
数学,99.8923076923077
情報科学,100.0
物理学,99.98571428571428
天文学,100.0
地球惑星物理学,100.0
地球惑星環境学,100.0
化学,100.0
生物化学,100.0
生物情報科学,100.0
生物学,99.97
