,定員充足率
法学部,92.24347826086957
経済学部,79.04044943820224
A群（思想文化）,54.86666666666666
B群（歴史文化_日本史学）,22.328571428571426
C群（歴史文化_東洋史学）,0.5307692307692308
D群（歴史文化_西洋史学）,21.5
E群（歴史文化_考古学）,1.6333333333333333
F群（歴史文化_美術史学）,6.482142857142857
G群（言語文化）,35.3375
H群（心理学）,100.0
I群（社会心理学）,79.46666666666665
J群（社会学）,100.0
基礎教育学,62.125
比較教育社会学,100.0
教育実践・政策学,99.575
教育心理学,99.60000000000001
身体教育学,0.0
薬学部,61.272413793103446
医学,99.54285714285716
健康総合科学,38.16363636363637
超域文化科学,99.08181818181816
地域文化研究,77.33333333333333
総合社会科学,97.87777777777778
数理自然科学,100.0
物質基礎科学,100.0
統合生命科学,69.0375
認知行動科学,99.95
Ａ 群,97.84
Ｂ 群,99.9
教養学科国際日本研究コース,0.0
学際科学科国際環境学コース,0.0
生命化学・工学,43.759375
応用生物学,31.176923076923078
森林生物科学,48.1
水圏生物科学,99.88333333333334
動物生命システム科学,100.0
生物素材化学,98.81666666666666
緑地環境学,100.0
森林環境資源科学,99.8
木質構造科学,100.0
生物・環境工学,118.23333333333333
農業・資源経済学,92.6076923076923
フィールド科学,99.9
国際開発農学,100.0
獣医学課程獣医学,66.16250000000001
社会基盤学Ａ（設計・技術戦略）,99.57142857142857
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,99.91666666666667
社会基盤学Ｃ（国際プロジェクト）,99.89999999999999
建築学,115.36923076923077
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,125.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,100.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,100.0
機械工学B,100.0
航空宇宙学,99.99444444444444
精密工学,100.0
電子情報工学,99.96428571428571
電気電子工学,113.37619047619049
応用物理・物理工学,85.71428571428571
計数工学・数理/ｼｽﾃﾑ情報,100.0
マテリアル工学A,101.94444444444446
マテリアル工学B,42.65294117647059
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,90.0
応用化学,20.673076923076923
化学システム工学,50.252631578947366
化学生命工学,63.419999999999995
システム創成A,50.064285714285724
システム創成B,100.0
システム創成C,100.0
数学,0.0
情報科学,0.0
物理学,0.0
天文学,0.0
地球惑星物理学,0.0
地球惑星環境学,100.0
化学,100.0
生物化学,100.0
生物情報科学,100.0
生物学,0.0
