,定員充足率
法学部,91.39842519685038
経済学部,89.59906542056075
A群（思想文化）,99.83809523809524
B群（歴史文化_日本史学）,99.4090909090909
C群（歴史文化_東洋史学）,77.50526315789475
D群（歴史文化_西洋史学）,100.0
E群（歴史文化_考古学）,9.061904761904762
F群（歴史文化_美術史学）,19.13
G群（言語文化）,81.16153846153846
H群（心理学）,100.0
I群（社会心理学）,100.0
J群（社会学）,99.99375
基礎教育学,82.04285714285716
比較教育社会学,100.0
教育実践・政策学,98.35000000000001
教育心理学,100.0
身体教育学,42.96
薬学部,56.164516129032265
医学,100.0
健康総合科学,21.280645161290323
超域文化科学,100.0
地域文化研究,99.66363636363636
総合社会科学,100.0
数理自然科学,100.0
物質基礎科学,100.0
統合生命科学,98.67777777777778
認知行動科学,100.0
Ａ 群,100.0
Ｂ 群,100.0
教養学科国際日本研究コース,30.075000000000003
学際科学科国際環境学コース,29.225
生命化学・工学,41.690625
応用生物学,29.007692307692306
森林生物科学,21.46666666666667
水圏生物科学,99.41666666666667
動物生命システム科学,100.0
生物素材化学,98.31666666666666
緑地環境学,100.0
森林環境資源科学,63.76363636363636
木質構造科学,100.0
生物・環境工学,17.227777777777778
農業・資源経済学,100.0
フィールド科学,99.93333333333334
国際開発農学,100.0
獣医学課程獣医学,64.825
社会基盤学Ａ（設計・技術戦略）,98.74285714285715
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,99.18333333333332
社会基盤学Ｃ（国際プロジェクト）,99.5
建築学,100.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,100.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,100.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,100.0
機械工学B,100.0
航空宇宙学,99.76111111111112
精密工学,100.0
電子情報工学,99.58333333333333
電気電子工学,100.0
応用物理・物理工学,100.0
計数工学・数理/ｼｽﾃﾑ情報,100.0
マテリアル工学A,46.518181818181816
マテリアル工学B,99.92941176470588
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,100.0
応用化学,72.2423076923077
化学システム工学,100.0
化学生命工学,98.21875
システム創成A,42.30588235294118
システム創成B,100.0
システム創成C,100.0
数学,99.66923076923078
情報科学,100.0
物理学,99.8952380952381
天文学,100.0
地球惑星物理学,100.0
地球惑星環境学,100.0
化学,99.96153846153847
生物化学,100.0
生物情報科学,100.0
生物学,99.82
