,志望順位が上位何%か
法学部,29.51965343
経済学部,47.77489849
A群（思想文化）,39.46219131
B群（歴史文化_日本史学）,56.30032851
C群（歴史文化_東洋史学）,62.7407971
D群（歴史文化_西洋史学）,32.70075714
E群（歴史文化_考古学）,68.16018809
F群（歴史文化_美術史学）,66.14817905
G群（言語文化）,45.28187076
H群（心理学）,43.93698238
I群（社会心理学）,43.84124635
J群（社会学）,57.99825553
基礎教育学,51.99857935
比較教育社会学,35.21160534
教育実践・政策学,41.52627984
教育心理学,28.20922771
身体教育学,52.3262381
薬学部,65.19991781
医学,1.976793701
健康総合科学,56.69522555
超域文化科学,32.575664
地域文化研究,44.90256067
総合社会科学,34.01333075
数理自然科学,35.92025504
物質基礎科学,38.79793452
統合生命科学,66.76746754
認知行動科学,32.14705925
Ａ 群,44.87270114
Ｂ 群,39.68724112
教養学科国際日本研究コース,59.57026783
学際科学科国際環境学コース,61.6101789
生命化学・工学,68.17362478
応用生物学,69.28184225
森林生物科学,78.80671433
水圏生物科学,47.23371113
動物生命システム科学,14.1799307
生物素材化学,49.11409991
緑地環境学,33.21402771
森林環境資源科学,60.94786231
木質構造科学,35.26316405
生物・環境工学,64.0229328
農業・資源経済学,48.09767455
フィールド科学,54.01599065
国際開発農学,41.28915003
獣医学課程獣医学,59.49099356
社会基盤学Ａ（設計・技術戦略）,31.32114354
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,32.69793618
社会基盤学Ｃ（国際プロジェクト）,33.84407448
建築学,26.30540813
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,25.7290311
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,32.43342731
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,33.86415671
機械工学B,34.09821467
航空宇宙学,33.01484623
精密工学,38.59084052
電子情報工学,67.57973949
電気電子工学,54.35460624
応用物理・物理工学,5.144324768
計数工学・数理/ｼｽﾃﾑ情報,34.98046983
マテリアル工学A,68.65030734
マテリアル工学B,77.09497333
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,31.0803787
応用化学,75.52945493
化学システム工学,45.08650137
化学生命工学,49.8792709
システム創成A,79.73020764
システム創成B,33.8290086
システム創成C,31.18540496
数学,36.1363994
情報科学,32.85348359
物理学,33.55374576
天文学,33.92033301
地球惑星物理学,33.06664995
地球惑星環境学,37.13398058
化学,33.31108048
生物化学,30.79737827
生物情報科学,32.49465327
生物学,32.92411908
