,l1,l2,l3,s1,s2,s3
0,0,10,0,23,38,0
1,0,11,0,24,40,0
2,0,11,1,24,42,0
3,1,11,1,24,44,0
4,1,12,1,25,46,0
5,1,12,1,28,48,0
6,1,12,2,28,48,0
7,1,12,2,29,48,0
8,1,12,2,30,49,0
9,1,13,2,31,49,0
10,1,13,2,31,49,0
11,1,13,2,32,49,0
12,2,13,3,32,49,0
13,2,13,3,32,49,0
14,2,13,3,32,50,0
15,2,14,3,32,50,0
16,2,14,3,32,51,0
17,2,14,3,33,51,0
18,2,14,3,33,51,0
19,2,15,3,33,52,0
20,2,15,3,33,52,0
21,2,15,3,34,52,0
22,2,15,3,34,52,0
23,2,16,4,34,52,0
24,3,16,4,35,52,0
25,3,16,4,35,53,0
26,3,16,4,35,53,0
27,3,16,4,36,54,0
28,3,16,4,36,54,0
29,3,16,4,37,54,0
30,3,16,4,37,54,0
31,3,17,4,37,54,0
32,3,17,4,37,54,0
33,3,17,4,37,54,0
34,3,17,5,37,54,0
35,3,17,5,38,54,0
36,3,17,5,38,55,0
37,3,17,5,39,55,0
38,3,18,5,39,55,0
39,3,18,5,39,55,0
40,3,18,5,40,55,0
41,3,18,5,40,55,0
42,3,18,5,40,55,0
43,3,18,5,41,56,0
44,4,18,5,41,56,0
45,4,18,5,41,56,0
46,4,18,5,41,56,0
47,4,18,5,41,56,0
48,4,18,5,41,57,0
49,4,18,5,41,57,0
50,4,18,5,41,57,0
51,4,18,6,42,57,0
52,4,18,6,42,57,0
53,4,18,6,42,57,0
54,4,19,6,42,58,0
55,4,19,6,42,58,0
56,4,19,6,43,58,0
57,4,19,6,43,58,0
58,4,19,6,43,58,0
59,4,19,6,43,58,0
60,4,19,6,44,59,0
61,4,19,6,44,59,0
62,5,19,6,44,59,0
63,5,19,6,44,59,0
64,5,19,7,44,59,0
65,5,19,7,44,59,0
66,5,20,7,44,59,0
67,5,20,7,45,59,0
68,5,20,7,45,59,0
69,5,20,7,45,60,0
70,5,21,7,45,60,0
71,5,21,7,45,61,0
72,5,21,7,46,61,0
73,5,21,7,46,61,0
74,5,21,7,46,61,0
75,5,21,8,47,61,0
76,6,21,8,47,61,0
77,6,21,8,47,62,0
78,6,21,8,47,62,0
79,6,21,9,47,63,0
80,6,21,9,48,64,0
81,6,22,9,48,64,0
82,6,22,9,48,64,0
83,6,22,9,49,65,0
84,6,22,9,49,65,0
85,6,22,10,50,65,0
86,7,23,10,51,65,0
87,7,23,10,51,66,0
88,7,23,10,53,66,0
89,7,23,10,54,67,0
90,7,23,10,55,67,0
91,7,24,10,55,67,0
92,7,24,11,56,68,0
93,7,24,11,56,68,0
94,7,25,11,58,70,0
95,8,26,12,60,70,1
96,8,26,13,60,72,1
97,9,27,13,61,72,1
98,10,28,14,64,73,1
99,11,31,14,68,80,2
