,法学部,経済学部,A群（思想文化）,B群（歴史文化_日本史学）,C群（歴史文化_東洋史学）,D群（歴史文化_西洋史学）,E群（歴史文化_考古学）,F群（歴史文化_美術史学）,G群（言語文化）,H群（心理学）,I群（社会心理学）,J群（社会学）,基礎教育学,比較教育社会学,教育実践・政策学,教育心理学,身体教育学,薬学部,医学,健康総合科学,超域文化科学,地域文化研究,総合社会科学,数理自然科学,物質基礎科学,統合生命科学,認知行動科学,Ａ 群,Ｂ 群,教養学科国際日本研究コース,学際科学科国際環境学コース,生命化学・工学,応用生物学,森林生物科学,水圏生物科学,動物生命システム科学,生物素材化学,緑地環境学,森林環境資源科学,木質構造科学,生物・環境工学,農業・資源経済学,フィールド科学,国際開発農学,獣医学課程獣医学,社会基盤学Ａ（設計・技術戦略）,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,社会基盤学Ｃ（国際プロジェクト）,建築学,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,機械工学B,航空宇宙学,精密工学,電子情報工学,電気電子工学,応用物理・物理工学,計数工学・数理/ｼｽﾃﾑ情報,マテリアル工学A,マテリアル工学B,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,応用化学,化学システム工学,化学生命工学,システム創成A,システム創成B,システム創成C,数学,情報科学,物理学,天文学,地球惑星物理学,地球惑星環境学,化学,生物化学,生物情報科学,生物学
0,8543.204128,7759.717563,1567.711045,825.6088219,1087.471587,887.9295155,447.5522935,342.4416432,1626.387525,478.7142633,467.3708756,1193.45047,300.1254152,387.4287311,613.4490626,550.6261088,207.5490587,1402.452472,2719.889247,443.2985106,969.2937258,823.7756856,796.9132334,158.8890492,625.8792526,688.2773621,167.9135361,371.041547,307.6937834,81.45237323,140.0142276,985.5613025,134.025068,0,453.9359913,251.0297326,455.8928862,168.9458689,141.5066533,234.8709165,0,1016.723904,240.5220143,632.0593958,134.9181666,527.4945045,441.4978424,243.0003177,1125.354828,463.2131316,774.0955732,2297.546194,1008.161997,1316.692664,1094.787672,1730.703419,1632.141211,1386.499628,1587.502134,679.0860882,1204.816842,743.2978496,1352.047381,1454.523823,1176.640867,622.0036429,871.542011,1063.970201,1012.236509,776.825598,1594.366967,304.1416795,765.2500662,443.3767302,990.8283833,458.2748961,396.8786142,732.0003813
1,8635.812719,6315.613846,1580.46067,825.8731938,1223.102263,866.2973256,214.8677741,598.9188026,2326.579068,476.9790454,472.8820008,1242.848263,297.2269409,394.8131916,595.1546594,563.5614794,484.2624411,767.9510948,2720.499281,367.4175706,974.9726751,834.8360502,757.813627,158.2600208,605.599724,672.3727181,153.9945685,393.0637807,316.7060916,227.329436,70.74678346,1243.051652,356.7823448,66.64075891,453.4715421,259.0753327,456.961411,155.6869554,565.2395827,249.0217023,283.2841987,997.0089624,224.413929,628.9387186,437.7562172,503.9569406,459.7865544,236.1569898,1157.939806,475.8647847,765.8572202,2351.618531,999.4907924,1273.189837,1082.99689,1720.968719,1592.285908,1399.24089,1558.720184,484.9634429,1173.161009,771.9736527,1618.619775,1432.503166,1174.484624,412.611878,852.5886709,1113.083325,986.9829983,783.9254989,1526.051034,303.6010082,762.3376746,462.3664019,1016.598928,468.3168909,390.5857679,746.1415148
2,8736.591178,6499.67183,1579.942231,837.2186885,1046.462732,833.5804445,294.8510432,506.2723291,2127.739597,483.9473353,459.4142688,1223.701252,288.844013,378.661197,613.8571754,559.8551558,216.4147093,1562.970256,2732.245221,510.6539041,956.7764814,831.8441885,775.8346846,174.1436822,620.8864204,594.7344296,163.1115913,400.2838765,313.7050875,0,75.21066709,1139.360679,359.1573027,0,444.5683962,248.6982611,438.9444484,161.6797711,750.2289352,246.3309536,359.9404641,990.9013487,227.9036027,616.7141452,440.4879068,513.0683868,442.2517602,225.8308446,1161.375966,482.6855288,744.49964,2298.525843,998.0291366,1330.889364,1099.799527,1703.414275,1626.049754,1395.222688,1614.7923,540.6714791,1266.118579,763.0649468,865.7187997,1471.165137,1205.587641,556.365847,856.1413473,1092.548722,985.3307414,789.869588,1543.107287,305.3186726,772.1813941,476.9781934,1016.532906,471.6771504,399.2152902,771.2111282
3,8986.023,6203.170189,1576.455255,852.9470997,1069.555622,883.8728845,352.182061,438.4055726,2365.20507,483.1981926,475.7265492,1266.53751,532.0203764,406.5410226,581.9636002,545.4224714,296.4694135,1334.788114,2706.326979,737.9562206,958.1660991,800.1203447,780.6668284,161.9976015,593.9764083,663.8422867,168.2955952,394.1065482,315.199477,151.215944,208.0128076,854.0754716,75.48355282,69.87823864,450.6344563,240.6850966,455.2110765,164.6183247,563.4653003,237.1515032,348.8032039,989.1417119,226.1017056,636.7364399,379.7289778,549.0218625,459.1094341,221.6696384,1109.230828,481.6292023,711.5545101,2334.753083,1023.163637,1355.215912,1112.956669,1613.871007,1615.021518,1395.161622,1655.54515,148.9491609,1214.152371,732.24798,1309.546987,1430.613993,1166.192515,548.0080973,826.3116429,1081.419842,984.768198,801.5437385,1559.292173,324.2339335,775.7014954,500.0940533,1011.439392,473.1853501,397.4283668,750.5507489
4,8436.906887,7104.341434,1628.806274,735.0705026,907.9158409,896.1204642,213.1298102,292.5914512,2751.34743,499.8760932,464.417677,1221.674492,508.7638442,383.5490482,603.7995877,569.5342793,517.4329445,2004.507192,2784.005374,289.4395969,956.163652,837.2670928,757.2295034,174.3006897,612.7371094,657.0945481,154.1564282,373.0656514,325.4663082,144.576777,0,498.6517291,67.12694356,73.17570479,428.6150907,247.3760442,443.4578,157.2316258,503.7303885,231.257621,278.5516904,1001.59053,242.0739538,639.3552243,210.8789346,348.2375222,451.6219814,226.3379554,1147.186263,461.8757167,758.7061828,2310.547143,1015.194078,1325.165128,1094.72446,1735.971633,1625.445758,1419.237854,1638.736033,209.7990197,1197.337354,757.1964365,1462.056027,1462.252362,1198.390434,615.1335434,840.0237927,1106.628001,985.6193238,775.115971,1606.382247,302.0299909,774.975958,479.8587295,1009.202382,463.1267451,380.7475217,733.2668377
5,8187.801447,7460.27827,1590.5117,860.6615447,1205.923788,893.8397113,302.6710324,635.5326576,2094.974274,478.813132,472.7310287,1223.642511,531.4761424,375.1846689,604.6383463,544.7978553,281.9656604,931.715796,2643.809032,586.4902179,958.8598822,815.9999524,776.4178632,154.5393422,607.4733039,658.2120285,156.9631755,381.4041346,305.2963183,139.1629166,73.13449679,1208.182795,138.1665773,67.67704367,436.9592514,251.5812434,429.2753581,161.0542222,731.5990481,228.3255024,0,997.4578835,223.1132266,638.1918052,503.649232,525.029495,457.3488657,224.9606544,1150.846854,482.0852374,786.8051367,2297.979877,1034.502426,1340.073498,1097.547564,1696.807325,1633.875478,1397.913932,1607.200655,136.8033665,1257.079043,742.1827598,1248.449963,1455.740969,1150.338799,555.6857246,849.264463,1108.573633,935.2531966,767.6941103,1551.696548,308.3768131,759.6396625,478.4775778,992.1292181,482.2851524,384.6949526,755.7718502
6,8059.322412,6827.991207,1592.478422,822.0787887,964.0509513,874.8402832,223.5938585,861.313188,2746.947319,481.8356207,472.5091541,1218.872184,435.7974822,377.7312454,617.6600799,550.8525541,300.11372,1462.967937,2680.049554,356.796867,957.8200544,842.2934986,792.8909858,154.3097171,617.5678382,652.1595531,163.1130572,380.3038485,323.4853908,0,0,1214.928533,0,0,475.6383876,251.5014984,443.3654799,155.8522194,797.4482729,238.116702,351.7197956,1004.377318,226.5856478,631.8815673,355.9582431,510.1736835,452.9623165,233.1861877,1176.354004,473.1691568,757.2980977,2370.403846,1012.773319,1357.577495,1091.369919,1670.311516,1573.56284,1409.524991,1566.341933,221.4412463,1228.388159,743.0550529,855.2131983,1480.902992,1210.912263,899.3779907,829.8829279,1104.556757,944.5244987,787.5545519,1495.008747,321.0151028,769.1289967,489.009366,1011.606021,475.4027493,391.2920021,738.5805226
7,8816.976849,7215.766994,1560.155819,841.653606,712.544643,891.3163804,210.9866387,280.2710285,2186.190468,487.4225737,461.9621994,1236.784711,524.0501045,388.8993698,598.832511,548.4884485,517.8017786,1559.992235,2799.596693,591.0834244,968.0418921,826.3464329,787.6150884,156.6342093,621.7639462,645.7954623,165.5575811,388.7299213,318.0141208,0,0,692.7399694,214.3445202,274.7069561,450.9861463,241.5328769,463.0546666,160.3600695,442.4542207,235.4608677,360.565647,986.1079007,226.1935631,644.7231872,283.8612667,506.7800766,460.9145793,237.4025332,1137.811544,473.8582316,747.9664744,2312.899952,993.2782641,1356.636059,1079.500676,1716.536229,1589.463539,1403.99204,1616.769028,266.2757345,1230.461395,757.3998549,1815.1674,1441.077214,1192.691297,198.8608443,867.6754454,1108.401322,991.7779948,779.9444331,1563.356154,312.0519735,783.7196347,468.7934775,1018.338982,457.1654226,402.8324487,748.0244076
8,8276.73999,7795.68666,1559.04888,821.2827141,1386.38866,860.0848533,148.1685014,434.3573209,2129.060498,493.4058801,469.429775,1235.801358,231.3126695,393.3302699,437.1695119,559.5483056,297.6508813,1155.83108,2709.967974,525.3871345,966.1946859,820.8607502,772.4515752,158.7627177,620.7023238,559.4343731,166.9555967,397.8846018,309.4684828,136.2431186,0,1411.72503,206.5186555,0,444.4198867,244.0298104,438.8195147,160.9529378,716.7270362,238.4344353,142.5442329,1017.583502,223.5306334,643.1804597,278.4053006,513.922236,446.6092722,234.8621899,1130.900993,472.261773,750.6496643,2298.349729,990.0457442,1355.889221,1067.451159,1701.38602,1650.678423,1415.705566,1631.447553,344.2942903,1214.214761,769.9552998,1244.171961,1475.705266,1191.379527,274.3309107,850.821914,1096.238546,945.4807796,788.7119948,1565.75379,317.1103319,773.3866955,485.8370816,971.9305276,451.8168963,388.9760802,751.0043165
9,8067.337288,6646.122678,1577.675087,824.4224194,1447.032839,878.7219417,435.9467497,362.0486058,2895.280617,476.0617419,469.4147144,1217.624324,502.6897371,381.8781022,595.0312818,559.3597037,426.3281635,1184.026216,2711.905303,373.3034275,976.8128777,806.9880743,774.0080948,166.0666243,595.925523,644.1302467,160.134948,389.422848,316.4554023,66.95460877,0,800.6129168,148.9370424,283.1415712,452.8121668,253.8323274,424.3484501,166.3703327,436.4427013,245.2518039,337.7522501,983.8126352,227.4876231,624.3951802,275.8739231,521.2969655,407.139702,225.3863063,1151.95304,481.803989,774.4489657,2330.871185,1002.80746,1307.38122,1076.250083,1730.58248,1586.727967,1411.046542,1631.237206,283.8562324,1225.877631,752.4987399,1699.319795,1432.301552,1190.203146,486.5904611,865.9923111,1093.406267,959.5903558,812.7889982,1626.509194,317.2346009,764.7584621,477.3624848,987.9108785,462.5562823,403.1569022,714.9360049
