,効用の平均値
法学部,73.96853210276556
経済学部,73.00993025068904
A群（思想文化）,75.14331273794237
B群（歴史文化_日本史学）,72.29297352451842
C群（歴史文化_東洋史学）,73.53492020047723
D群（歴史文化_西洋史学）,80.06560107072485
E群（歴史文化_考古学）,70.52159733824553
F群（歴史文化_美術史学）,72.12268201001976
G群（言語文化）,72.95919236591045
H群（心理学）,80.37405937743885
I群（社会心理学）,78.45174584278986
J群（社会学）,75.4111322935156
基礎教育学,73.6421273991216
比較教育社会学,78.47013876911328
教育実践・政策学,75.05816539175065
教育心理学,79.01291529598205
身体教育学,74.40468057639869
薬学部,70.88467809486059
医学,75.58470576640498
健康総合科学,71.90540117300495
超域文化科学,80.53109317056793
地域文化研究,74.7571554928692
総合社会科学,77.09144710836375
数理自然科学,80.26485542173728
物質基礎科学,77.47568426960079
統合生命科学,70.49573797617096
認知行動科学,81.05927585524931
Ａ 群,76.54468343770365
Ｂ 群,79.53722680788236
教養学科国際日本研究コース,72.1582358277327
学際科学科国際環境学コース,72.69076914392463
生命化学・工学,70.74563164666276
応用生物学,70.66707544508728
森林生物科学,69.66290053699498
水圏生物科学,74.53045062661991
動物生命システム科学,82.78054913038748
生物素材化学,73.86924579400224
緑地環境学,79.46118420384583
森林環境資源科学,71.57387434659881
木質構造科学,79.44729053226907
生物・環境工学,70.60950803241091
農業・資源経済学,77.11797688830812
フィールド科学,76.42857978000039
国際開発農学,78.05831785493051
獣医学課程獣医学,70.89192144526174
社会基盤学Ａ（設計・技術戦略）,75.17733977393806
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,75.62011653694171
社会基盤学Ｃ（国際プロジェクト）,76.57434683776772
建築学,76.99948440437882
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,79.7102646821012
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,76.20458559449477
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,76.08153897007443
機械工学B,78.14527220386822
航空宇宙学,74.86654715034993
精密工学,77.97090402821992
電子情報工学,70.97677710901336
電気電子工学,71.04870045950253
応用物理・物理工学,82.78605452071156
計数工学・数理/ｼｽﾃﾑ情報,76.72125120683577
マテリアル工学A,69.73637176025272
マテリアル工学B,68.8430497421111
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,76.22937628590483
応用化学,69.12371708148127
化学システム工学,76.10652492900891
化学生命工学,75.19872734847257
システム創成A,68.4781716716718
システム創成B,77.62645487363969
システム創成C,78.91025769176575
数学,75.92025041386012
情報科学,79.09792510747468
物理学,75.34769402268364
天文学,79.16003368749715
地球惑星物理学,77.33792432482383
地球惑星環境学,79.62520293769177
化学,76.62976421088017
生物化学,77.87093581495489
生物情報科学,79.03742597500656
生物学,76.38363126310651
