,効用の平均値
法学部,74.07259650100578
経済学部,73.75650670995888
A群（思想文化）,75.84662488918282
B群（歴史文化_日本史学）,77.09588157609933
C群（歴史文化_東洋史学）,78.45339203617317
D群（歴史文化_西洋史学）,80.10549717685045
E群（歴史文化_考古学）,72.44350339155471
F群（歴史文化_美術史学）,71.62479084476465
G群（言語文化）,74.75652278068812
H群（心理学）,80.84166817057161
I群（社会心理学）,78.29438575628866
J群（社会学）,76.10118677418244
基礎教育学,73.93610491036168
比較教育社会学,78.36697396430016
教育実践・政策学,75.21836089150236
教育心理学,79.15594658459602
身体教育学,73.14522241066031
薬学部,71.18968547075667
医学,75.5512882256792
健康総合科学,72.08686214985129
超域文化科学,80.53190629002609
地域文化研究,74.75223683309414
総合社会科学,77.50485262878647
数理自然科学,80.5455959868795
物質基礎科学,76.97214681667899
統合生命科学,74.74247258256402
認知行動科学,81.03288353630711
Ａ 群,77.34142996718813
Ｂ 群,79.70364016652408
教養学科国際日本研究コース,71.43740130026498
学際科学科国際環境学コース,71.96197917293537
生命化学・工学,70.86215522091238
応用生物学,70.71460325918227
森林生物科学,69.4272068906553
水圏生物科学,75.51878496225942
動物生命システム科学,83.45969878041956
生物素材化学,74.75838202938537
緑地環境学,79.359139622638
森林環境資源科学,71.78260041094755
木質構造科学,79.72065452680324
生物・環境工学,69.58357994323171
農業・資源経済学,77.48489846182056
フィールド科学,76.82971026400776
国際開発農学,78.6848914991471
獣医学課程獣医学,71.64215629288078
社会基盤学Ａ（設計・技術戦略）,74.68564060302738
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,75.16821740895044
社会基盤学Ｃ（国際プロジェクト）,76.34557727785062
建築学,76.76049099591289
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,79.80706062544508
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,75.76724102807728
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,75.54060859677458
機械工学B,77.8973653211994
航空宇宙学,74.3681050240175
精密工学,77.7959542799271
電子情報工学,72.30617702155197
電気電子工学,76.76336880497786
応用物理・物理工学,82.85023256237285
計数工学・数理/ｼｽﾃﾑ情報,76.36837539455482
マテリアル工学A,68.62136366799783
マテリアル工学B,70.50533599297573
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,75.277364323791
応用化学,72.86764763994957
化学システム工学,72.86248176235239
化学生命工学,74.35895283331487
システム創成A,68.38380951744261
システム創成B,77.24231402581816
システム創成C,78.68748744706421
数学,75.3091158361025
情報科学,78.94358571128441
物理学,74.78488688510095
天文学,78.51546922323647
地球惑星物理学,77.05232229849099
地球惑星環境学,79.1540451990709
化学,76.46951977974412
生物化学,78.21558452395558
生物情報科学,79.0860852022579
生物学,76.29166831182796
