,MRの定員充足率,MQの定員充足率
法学部,0.9139842519685141,0.9506535433070945
経済学部,0.8959906542056083,0.9158037383177544
A群（思想文化）,0.9983809523809525,0.8249523809523867
B群（歴史文化_日本史学）,0.9940909090909094,0.5629090909090917
C群（歴史文化_東洋史学）,0.7750526315789505,0.32247368421053046
D群（歴史文化_西洋史学）,1.0,0.5829999999999987
E群（歴史文化_考古学）,0.09061904761904822,0.08097619047619066
F群（歴史文化_美術史学）,0.19129999999999867,0.21399999999999852
G群（言語文化）,0.8116153846153819,0.6143846153846149
H群（心理学）,1.0,1.0
I群（社会心理学）,1.0,0.9630000000000011
J群（社会学）,0.9999375,0.9999375
基礎教育学,0.8204285714285706,0.7658571428571409
比較教育社会学,1.0,1.0
教育実践・政策学,0.9835,0.988375
教育心理学,1.0,0.9977142857142859
身体教育学,0.42959999999999954,0.5441999999999995
薬学部,0.5616451612903216,0.8157096774193501
医学,1.0,0.9958611111111089
健康総合科学,0.21280645161290054,0.2688709677419325
超域文化科学,1.0,0.998583333333333
地域文化研究,0.9966363636363633,0.8521818181818215
総合社会科学,1.0,0.9959999999999996
数理自然科学,1.0,1.0
物質基礎科学,1.0,1.0
統合生命科学,0.9867777777777788,0.9974444444444447
認知行動科学,1.0,1.0
Ａ 群,1.0,0.9965999999999999
Ｂ 群,1.0,0.9995
教養学科国際日本研究コース,0.30075,0.35925
学際科学科国際環境学コース,0.29225,0.4115
生命化学・工学,0.41690625,0.6519375
応用生物学,0.2900769230769232,0.46530769230769187
森林生物科学,0.21466666666666612,0.3311666666666661
水圏生物科学,0.9941666666666668,0.9993333333333334
動物生命システム科学,1.0,1.0
生物素材化学,0.9831666666666671,0.9978333333333333
緑地環境学,1.0,1.0
森林環境資源科学,0.6376363636363642,0.8438181818181838
木質構造科学,1.0,1.0
生物・環境工学,0.17227777777777808,0.2936111111111111
農業・資源経済学,1.0,0.9454615384615347
フィールド科学,0.9993333333333333,1.0
国際開発農学,1.0,1.0
獣医学課程獣医学,0.64825,0.836
社会基盤学Ａ（設計・技術戦略）,0.9874285714285718,0.9931428571428573
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.9918333333333332,0.996
社会基盤学Ｃ（国際プロジェクト）,0.9949999999999998,0.9983333333333333
建築学,1.0,1.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,1.0,1.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,1.0,1.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,1.0,1.0
機械工学B,1.0,1.0
航空宇宙学,0.9976111111111111,0.9988888888888889
精密工学,1.0,1.0
電子情報工学,0.9958333333333333,1.0
電気電子工学,1.0,1.0
応用物理・物理工学,1.0,1.0
計数工学・数理/ｼｽﾃﾑ情報,1.0,1.0
マテリアル工学A,0.4651818181818185,0.7394545454545491
マテリアル工学B,0.9992941176470589,0.9236470588235319
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,1.0,1.0
応用化学,0.7224230769230772,0.36215384615384666
化学システム工学,1.0,0.6358947368421075
化学生命工学,0.9821875,0.765
システム創成A,0.4230588235294144,0.684588235294117
システム創成B,1.0,1.0
システム創成C,1.0,1.0
数学,0.9966923076923075,0.9989230769230769
情報科学,1.0,1.0
物理学,0.998952380952381,0.9998571428571429
天文学,1.0,1.0
地球惑星物理学,1.0,1.0
地球惑星環境学,1.0,1.0
化学,0.9996153846153847,1.0
生物化学,1.0,1.0
生物情報科学,1.0,1.0
生物学,0.9982,0.9996999999999999
