学部番号,学部,学科,学科2,第1段階指定1科類,第1段階指定1枠数,第1段階指定2科類,第1段階指定2枠数,第1段階指定3科類,第1段階指定3枠数,１志（文１）,１志（文２）,１志（文３）,１志（理１）,１志（理２）,１志（理３）,１内（文１）,１内（文２）,１内（文３）,１内（理１）,１内（理２）,１内（理３）,１志全（文１）,１志全（文２）,１志全（文３）,１志全（理１）,１志全（理２）,１志全（理３）,１内全（文１）,１内全（文２）,１内全（文３）,１内全（理１）,１内全（理２）,１内全（理３）,第二段階指定1科類,第二段階指定1枠数,第二段階指定2科類,第二段階指定2枠数,第二段階指定3科類,第二段階指定3枠数,第二段階指定4科類,第二段階指定4枠数,２志（文１）,２志（文２）,２志（文３）,２志（理１）,２志（理２）,２志（理３）,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２志全（文１）,２志全（文２）,２志全（文３）,２志全（理１）,２志全（理２）,２志全（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）,学部番号.1,学部.1,学科.1,学科2.1
0,降年,降年,降年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123456,800,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,降年,降年,降年
1,法学部,法学部,法学部,1,263,456,4,123456,12,336,,,39,,,263,,,2,2,,73,5,19,1,7,,,2,10,,,,1,88,23,2,456,2,123456,35,104,35,48,31,26,,88,,2,,2,,104,35,48,31,26,,,6,18,2,9,,1,法学部,法学部,法学部
2,経済学部,経済学部,経済学部,2,198,456,7,123456,42,,307,,17,19,,,198,,3,4,,17,109,44,14,15,,6,,30,4,2,,2,86,456,3,0,0,123456,18,,142,,110,70,,,86,,,3,,33,142,40,110,70,,5,,,7,6,,2,経済学部,経済学部,経済学部
3,文学部,人文学科,A群（思想文化）,3,38,,,123456,9,,,44,,,,,,38,,,,3,4,6,2,3,,2,4,1,1,1,,3,9,0,0,0,0,123456,12,,,49,,,,,,7,,,,18,42,49,21,19,1,1,4,,3,4,,3,文学部,人文学科,A群（思想文化）
4,文学部,人文学科,B群（歴史文化_日本史学）,3,10,,,123456,2,,,20,,,,,,16,,,,,,4,,,,,,2,,,,3,3,0,0,0,0,123456,4,,,30,,,,,,3,,,,13,32,30,6,5,,,3,,1,,,4,文学部,人文学科,B群（歴史文化_日本史学）
5,文学部,人文学科,C群（歴史文化_東洋史学）,3,13,,,123456,2,,,9,,,,,,9,,,,,,,1,,,,,,1,,,3,8,0,0,0,0,123456,5,,,31,,,,,,,,,,11,36,31,5,3,,,5,,,,,5,文学部,人文学科,C群（歴史文化_東洋史学）
6,文学部,人文学科,D群（歴史文化_西洋史学）,3,15,,,123456,2,,,9,,,,,,9,,,,,,,,,,,,,,,,3,9,0,0,0,0,123456,6,,,40,,,,,,2,,,,11,44,40,6,10,1,,4,,,1,,6,文学部,人文学科,D群（歴史文化_西洋史学）
7,文学部,人文学科,E群（歴史文化_考古学）,3,4,,,123456,1,,,5,,,,,,4,,,,1,,1,,,,1,,,,,,3,3,0,0,0,0,123456,2,,,23,,,,,,1,,,,8,17,23,7,9,,,,,1,1,,7,文学部,人文学科,E群（歴史文化_考古学）
8,文学部,人文学科,F群（歴史文化_美術史学）,3,9,,,123456,2,,,13,,,,,,9,,,,,1,4,,,,,1,1,,,,3,2,0,0,0,0,123456,2,,,29,,,,,,2,,,,8,20,29,8,7,,,,2,,,,8,文学部,人文学科,F群（歴史文化_美術史学）
9,文学部,人文学科,G群（言語文化）,3,57,,,123456,14,,,53,,,,,,53,,,,5,9,,6,3,,3,6,,4,1,,3,24,0,0,0,0,123456,15,,,65,,,,,,12,,,,19,61,65,19,18,,1,13,,1,,,9,文学部,人文学科,G群（言語文化）
10,文学部,人文学科,H群（心理学）,3,15,,,123456,2,,,16,,,,,,15,,,,,2,1,4,,,,1,,1,,,3,2,0,0,0,0,123456,4,,,69,,,,,,2,,,,18,59,69,31,30,,,,2,1,1,,10,文学部,人文学科,H群（心理学）
11,文学部,人文学科,I群（社会心理学）,3,12,,,123456,2,,,23,,,,,,12,,,,3,4,11,1,1,,2,,,,,,3,3,0,0,0,0,123456,3,,,74,,,,,,3,,,,20,60,74,25,28,,1,2,,,,,11,文学部,人文学科,I群（社会心理学）
12,文学部,人文学科,J群（社会学）,3,24,,,123456,8,,,35,,,,,,25,,,,3,5,10,1,1,,1,4,3,,,,3,9,0,0,0,0,123456,7,,,89,,,,,,9,,,,21,66,89,16,26,,1,,6,,,,12,文学部,人文学科,J群（社会学）
13,教育学部,総合教育科学,基礎教育学,3,9,,,123456,3,,,13,,,,,,9,,,,,,4,1,1,,,,2,,1,,3,4,0,0,0,0,123456,3,,,22,,,,,,4,,,,2,13,22,1,4,,1,,,1,1,,13,教育学部,総合教育科学,基礎教育学
14,教育学部,総合教育科学,比較教育社会学,3,8,,,123456,3,,,12,,,,,,8,,,,,1,4,,,,,1,2,,,,3,3,0,0,0,0,123456,2,,,29,,,,,,3,,,,4,11,29,3,3,,,,2,,,,14,教育学部,総合教育科学,比較教育社会学
15,教育学部,総合教育科学,教育実践・政策学,3,10,,,123456,5,,,23,,,,,,13,,,,2,3,10,,2,,2,2,1,,,,3,4,0,0,0,0,123456,4,,,26,,,,,,4,,,,1,12,26,3,4,,,,2,,2,,15,教育学部,総合教育科学,教育実践・政策学
16,教育学部,総合教育科学,教育心理学,3,10,456,2,123456,3,,,20,2,3,,,,7,1,1,,4,1,13,1,2,,2,,1,,,,3,4,456,2,0,0,123456,1,,,33,6,9,,,,4,,2,,5,9,33,6,9,,,,1,,,,16,教育学部,総合教育科学,教育心理学
17,教育学部,総合教育科学,身体教育学,3,,,,123456,11,,,,,,,,,,,,,,4,5,2,2,,,3,5,2,1,,0,0,0,0,0,0,123456,5,,,,,,,,,,,,,4,20,5,2,7,,1,4,,,,,17,教育学部,総合教育科学,身体教育学
18,薬学部,薬学部,薬学部,46,16,5,30,123456,8,,,,9,56,,,,,9,37,,,,,,19,,,,,,8,,456,29,0,0,0,0,123456,2,,,,39,78,,,,,2,27,,,,,,,,,,,,,,18,薬学部,薬学部,薬学部
19,医学部,医学,医学,5,7,6,68,123456,2,,,,,21,99,,,,,7,65,,1,3,1,14,34,,1,,1,,,6,32,5,3,0,0,123456,1,,,,,13,34,,,,,3,34,,,3,,13,34,,,1,,1,,19,医学部,医学,医学
20,医学部,健康総合科学,健康総合科学,456,12,,,123456,18,,,,4,14,,,,,3,9,,,1,7,1,5,,,1,7,1,5,,456,12,0,0,0,0,123456,4,,,6,12,,,,,,,4,,3,4,10,6,12,,,1,2,,,,20,医学部,健康総合科学,健康総合科学
21,教養,教養学科,超域文化科学,12,6,3,12,123456,5,5,4,31,,,,4,2,12,,,,1,2,19,1,1,,,,4,,1,,12,2,3,9,0,0,123456,1,20,38,47,,,,1,1,9,,,,20,38,47,13,11,,,,1,,,,21,教養,教養学科,超域文化科学
22,教養,教養学科,地域文化研究,12,8,3,12,123456,2,7,1,20,,,,7,1,12,,,,,,8,,,,,,2,,,,12,3,3,6,0,0,123456,2,19,38,36,,,,,3,6,,,,19,38,36,9,8,,,,,1,1,,22,教養,教養学科,地域文化研究
23,教養,教養学科,総合社会科学,12,12,3,11,123456,1,14,6,19,,,,9,3,11,,,,5,3,8,1,1,,,,1,,,,12,8,3,1,0,0,123456,1,21,43,23,,,,3,5,1,,,,21,43,23,9,7,,,,1,,,,23,教養,教養学科,総合社会科学
24,教養,教養学科,数理自然科学,456,6,,,123456,1,,,,6,2,,,,,5,1,,,,1,1,1,,,,1,,,,456,2,0,0,0,0,123456,0,,,,50,18,,,,,1,1,,,,,,,,,,,,,,24,教養,教養学科,数理自然科学
25,教養,教養学科,物質基礎科学,456,12,,,123456,,,,,14,4,,,,,9,3,,,,,,,,,,,,,,456,8,0,0,0,0,123456,0,,,,53,18,,,,,8,,,,,,,,,,,,,,,25,教養,教養学科,物質基礎科学
26,教養,教養学科,統合生命科学,456,11,,,123456,3,,,,5,6,,,,,5,6,,,,1,,,,,,1,,,,456,7,0,0,0,0,123456,1,,,,27,30,,,,,5,2,,2,3,2,27,30,,,,,,1,,26,教養,教養学科,統合生命科学
