,l1,l2,l3,s1,s2,s3
法学部,0.116,3.144,7.404,4.068,3.444,0.0
経済学部,2.464,0.004,2.667,6.379,6.486,0.0
A群（思想文化）,1.826,3.453,0.934,2.379,2.623,0.0
B群（歴史文化_日本史学）,1.07,1.81,0.024,0.392,0.39,0.0
C群（歴史文化_東洋史学）,0.987,3.022,0.0,0.491,0.313,0.0
D群（歴史文化_西洋史学）,0.796,2.411,0.354,0.366,0.94,0.0
E群（歴史文化_考古学）,0.584,0.743,0.0,0.43,0.889,0.0
F群（歴史文化_美術史学）,0.454,0.645,0.0,0.387,0.427,0.0
G群（言語文化）,1.975,7.062,0.029,2.349,2.536,0.0
H群（心理学）,0.436,0.863,1.372,0.481,0.848,0.0
I群（社会心理学）,0.442,0.787,0.839,0.268,0.664,0.0
J群（社会学）,0.908,1.712,3.082,0.26,1.038,0.0
基礎教育学,0.155,0.887,0.114,0.062,0.389,0.0
比較教育社会学,0.234,0.448,0.521,0.179,0.214,0.0
教育実践・政策学,0.088,0.74,0.296,0.349,0.419,0.0
教育心理学,0.26,0.242,0.228,0.049,0.089,0.0
身体教育学,0.335,1.582,0.305,0.16,0.871,0.0
薬学部,0.0,0.0,0.0,0.228,0.483,0.0
医学,0.001,0.0,0.148,0.0,0.104,0.0
健康総合科学,0.212,0.255,0.717,0.0,0.0,0.0
超域文化科学,0.191,0.152,0.019,0.264,0.37,0.0
地域文化研究,0.306,0.438,0.108,0.539,0.553,0.0
総合社会科学,0.004,0.021,0.381,0.257,0.307,0.0
数理自然科学,0.0,0.0,0.0,0.0,0.0,0.0
物質基礎科学,0.0,0.0,0.0,0.0,0.0,0.0
統合生命科学,0.117,0.101,0.058,0.238,0.235,0.0
認知行動科学,0.0,0.0,0.0,0.0,0.0,0.0
Ａ 群,0.0,0.0,0.0,0.0,0.0,0.0
Ｂ 群,0.0,0.0,0.0,0.0,0.0,0.0
教養学科国際日本研究コース,0.214,0.31,0.299,0.176,0.08,0.0
学際科学科国際環境学コース,0.14,0.586,0.216,0.174,0.463,0.0
生命化学・工学,0.0,0.0,0.0,0.0,0.0,0.0
応用生物学,0.0,0.0,0.0,0.0,0.0,0.0
森林生物科学,0.081,0.296,0.144,0.534,1.429,0.0
水圏生物科学,0.0,0.0,0.0,0.0,0.0,0.0
動物生命システム科学,0.0,0.0,0.0,0.0,0.0,0.0
生物素材化学,0.0,0.0,0.0,0.0,0.0,0.0
緑地環境学,0.0,0.0,0.0,0.0,0.0,0.0
森林環境資源科学,0.052,0.658,0.204,1.423,4.383,0.0
木質構造科学,0.0,0.0,0.0,0.0,0.0,0.0
生物・環境工学,0.0,0.035,0.015,1.124,4.016,0.0
農業・資源経済学,0.0,0.0,0.0,0.0,0.0,0.0
フィールド科学,0.0,0.092,0.099,0.108,0.694,0.0
国際開発農学,0.319,0.318,0.857,0.578,2.91,0.0
獣医学課程獣医学,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,0.0,0.0,0.0
建築学,0.112,0.066,0.183,0.059,1.563,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.057,0.091,0.127,1.723,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,0.0,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0,0.0,0.0,0.0,0.0,0.0
機械工学B,0.0,0.0,0.0,0.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,0.0,0.0,0.0
精密工学,0.0,0.002,0.004,0.842,2.152,0.0
電子情報工学,0.07,0.007,0.0,6.329,3.594,0.0
電気電子工学,0.0,0.0,0.0,0.0,0.0,0.0
応用物理・物理工学,0.0,0.0,0.0,0.969,2.031,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.073,0.0,0.057,0.547,2.323,0.0
マテリアル工学A,0.0,0.0,0.0,0.247,1.75,0.0
マテリアル工学B,0.0,0.0,0.0,0.0,0.0,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0,0.0,0.0,0.0,0.0,0.0
応用化学,0.0,0.0,0.0,0.0,0.0,0.0
化学システム工学,0.0,0.0,0.0,0.0,0.0,0.0
化学生命工学,0.0,0.0,0.0,0.278,0.265,0.0
システム創成A,0.0,0.021,0.045,0.636,2.298,0.0
システム創成B,0.0,0.0,0.0,0.0,0.0,0.0
システム創成C,0.0,0.0,0.0,0.0,0.0,0.0
数学,0.0,0.0,0.0,8.677,1.733,0.0
情報科学,0.0,0.0,0.0,7.724,2.276,0.0
物理学,0.0,0.0,0.001,15.294,2.623,0.0
天文学,0.0,0.0,0.0,2.871,1.023,0.0
地球惑星物理学,0.0,0.0,0.0,7.67,2.197,0.0
地球惑星環境学,0.0,0.0,0.0,1.123,0.821,0.0
化学,0.0,0.0,0.0,0.0,0.0,0.0
生物化学,0.0,0.0,0.0,0.0,0.0,0.0
生物情報科学,0.0,0.0,0.0,0.0,0.0,0.0
生物学,0.0,0.0,0.0,2.266,5.895,0.0
