,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
法学部,82.482,0.419,1.581,0.798,1.202,0.0,0.091,3.151,7.292,3.907,3.294,0.0
経済学部,0.0,86.0,0.0,1.495,1.505,0.0,2.493,0.008,2.73,6.313,6.456,0.0
A群（思想文化）,0.0,0.0,8.054,0.0,0.0,0.0,1.778,3.627,0.777,2.412,2.638,0.0
B群（歴史文化_日本史学）,0.0,0.0,3.867,0.0,0.0,0.0,1.045,1.813,0.025,0.359,0.427,0.0
C群（歴史文化_東洋史学）,0.0,0.0,4.191,0.0,0.0,0.0,1.026,2.98,0.0,0.488,0.294,0.0
D群（歴史文化_西洋史学）,0.0,0.0,5.181,0.0,0.0,0.0,0.905,2.402,0.321,0.356,0.903,0.0
E群（歴史文化_考古学）,0.0,0.0,2.46,0.0,0.0,0.0,0.58,0.793,0.0,0.468,0.797,0.0
F群（歴史文化_美術史学）,0.0,0.0,3.853,0.0,0.0,0.0,0.452,0.653,0.0,0.375,0.43,0.0
G群（言語文化）,0.0,0.0,16.901,0.0,0.0,0.0,1.985,7.04,0.029,2.25,2.605,0.0
H群（心理学）,0.0,0.0,2.0,0.0,0.0,0.0,0.461,0.853,1.449,0.44,0.797,0.0
I群（社会心理学）,0.0,0.0,3.0,0.0,0.0,0.0,0.451,0.777,0.854,0.287,0.631,0.0
J群（社会学）,0.0,0.0,9.0,0.0,0.0,0.0,0.857,1.728,3.077,0.254,1.084,0.0
基礎教育学,0.0,0.0,2.298,0.0,0.0,0.0,0.129,0.846,0.13,0.072,0.39,0.0
比較教育社会学,0.0,0.0,2.599,0.0,0.0,0.0,0.257,0.464,0.505,0.17,0.211,0.0
教育実践・政策学,0.0,0.0,2.69,0.0,0.0,0.0,0.063,0.754,0.294,0.367,0.402,0.0
教育心理学,0.0,0.0,3.455,0.457,0.987,0.0,0.251,0.244,0.256,0.051,0.076,0.0
身体教育学,0.0,0.0,0.0,0.0,0.0,0.0,0.321,1.583,0.295,0.168,0.843,0.0
薬学部,0.0,0.0,0.0,5.539,21.311,0.0,0.0,0.0,0.0,0.267,0.508,0.0
医学,0.0,0.0,0.0,0.0,1.654,32.0,0.0,0.0,0.147,0.0,0.105,0.0
健康総合科学,0.0,0.0,0.0,1.457,1.696,0.0,0.213,0.222,0.682,0.0,0.0,0.0
超域文化科学,1.063,0.915,7.792,0.0,0.0,0.0,0.174,0.144,0.021,0.295,0.365,0.0
地域文化研究,1.455,1.463,4.734,0.0,0.0,0.0,0.279,0.409,0.124,0.554,0.557,0.0
総合社会科学,2.38,4.095,0.928,0.0,0.0,0.0,0.001,0.017,0.388,0.252,0.314,0.0
数理自然科学,0.0,0.0,0.0,1.418,0.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
物質基礎科学,0.0,0.0,0.0,5.828,2.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
統合生命科学,0.0,0.0,0.0,2.916,4.563,0.0,0.118,0.084,0.057,0.229,0.263,0.0
認知行動科学,0.32,0.211,0.398,0.473,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ａ 群,0.514,1.191,2.01,0.623,0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ｂ 群,0.066,0.422,0.451,1.703,1.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
教養学科国際日本研究コース,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.294,0.269,0.192,0.079,0.0
学際科学科国際環境学コース,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.58,0.199,0.17,0.46,0.0
生命化学・工学,0.0,0.0,0.0,4.014,24.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用生物学,0.0,0.0,0.0,1.095,5.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
森林生物科学,0.0,0.0,0.0,0.341,1.558,0.0,0.078,0.262,0.144,0.487,1.457,0.0
水圏生物科学,0.0,0.0,0.0,1.006,4.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
動物生命システム科学,0.0,0.0,0.0,0.208,2.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物素材化学,0.0,0.0,0.0,1.263,4.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
緑地環境学,0.0,0.0,0.0,0.441,1.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
森林環境資源科学,0.0,0.0,0.0,0.137,0.863,0.0,0.055,0.642,0.22,1.375,4.445,0.0
木質構造科学,0.0,0.0,0.0,0.529,2.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物・環境工学,0.0,0.164,0.127,0.602,4.356,0.0,0.0,0.044,0.016,1.07,4.017,0.0
農業・資源経済学,0.641,2.609,1.651,0.725,7.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
フィールド科学,0.0,0.0,0.0,0.248,1.746,0.0,0.0,0.099,0.11,0.128,0.648,0.0
国際開発農学,0.0,0.0,0.0,0.353,2.647,0.0,0.351,0.353,0.844,0.602,2.825,0.0
獣医学課程獣医学,0.0,0.0,0.0,0.873,4.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,5.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,4.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,2.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
建築学,0.0,0.0,0.0,11.863,0.0,0.0,0.105,0.064,0.165,0.049,1.587,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.0,0.0,3.974,0.0,0.0,0.0,0.047,0.097,0.133,1.722,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
