,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
法学部,82.434,0.415,1.585,0.838,1.16,0.0,0.106,3.156,7.307,3.837,3.323,0.0
経済学部,0.0,86.0,0.0,1.499,1.501,0.0,2.453,0.001,2.56,6.321,6.665,0.0
A群（思想文化）,0.0,0.0,8.057,0.0,0.0,0.0,1.842,3.552,0.861,2.395,2.705,0.0
B群（歴史文化_日本史学）,0.0,0.0,3.74,0.0,0.0,0.0,1.101,1.76,0.03,0.398,0.423,0.0
C群（歴史文化_東洋史学）,0.0,0.0,4.184,0.0,0.0,0.0,0.988,3.056,0.0,0.517,0.32,0.0
D群（歴史文化_西洋史学）,0.0,0.0,5.204,0.0,0.0,0.0,0.863,2.444,0.361,0.376,0.852,0.0
E群（歴史文化_考古学）,0.0,0.0,2.525,0.0,0.0,0.0,0.582,0.808,0.0,0.475,0.799,0.0
F群（歴史文化_美術史学）,0.0,0.0,3.768,0.0,0.0,0.0,0.442,0.633,0.0,0.38,0.451,0.0
G群（言語文化）,0.0,0.0,16.869,0.0,0.0,0.0,2.002,7.032,0.019,2.327,2.503,0.0
H群（心理学）,0.0,0.0,2.0,0.0,0.0,0.0,0.456,0.883,1.393,0.436,0.832,0.0
I群（社会心理学）,0.0,0.0,3.0,0.0,0.0,0.0,0.446,0.772,0.848,0.288,0.646,0.0
J群（社会学）,0.0,0.0,9.0,0.0,0.0,0.0,0.884,1.598,3.145,0.288,1.085,0.0
基礎教育学,0.0,0.0,2.252,0.0,0.0,0.0,0.159,0.808,0.12,0.096,0.387,0.0
比較教育社会学,0.0,0.0,2.612,0.0,0.0,0.0,0.256,0.501,0.515,0.174,0.223,0.0
教育実践・政策学,0.0,0.0,2.743,0.0,0.0,0.0,0.077,0.816,0.297,0.343,0.414,0.0
教育心理学,0.0,0.0,3.435,0.448,0.958,0.0,0.27,0.213,0.261,0.045,0.073,0.0
身体教育学,0.0,0.0,0.0,0.0,0.0,0.0,0.317,1.61,0.32,0.178,0.838,0.0
薬学部,0.0,0.0,0.0,5.637,21.174,0.0,0.0,0.0,0.001,0.209,0.52,0.0
医学,0.0,0.0,0.0,0.0,1.617,32.0,0.0,0.0,0.148,0.0,0.092,0.0
健康総合科学,0.0,0.0,0.0,1.49,1.685,0.0,0.2,0.214,0.759,0.0,0.0,0.0
超域文化科学,1.032,0.941,7.775,0.0,0.0,0.0,0.18,0.133,0.014,0.318,0.353,0.0
地域文化研究,1.435,1.483,4.731,0.0,0.0,0.0,0.272,0.438,0.137,0.547,0.535,0.0
総合社会科学,2.335,4.127,0.932,0.0,0.0,0.0,0.001,0.019,0.383,0.262,0.305,0.0
数理自然科学,0.0,0.0,0.0,1.422,0.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
物質基礎科学,0.0,0.0,0.0,5.864,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
統合生命科学,0.0,0.0,0.0,2.827,4.596,0.0,0.111,0.092,0.064,0.228,0.247,0.0
認知行動科学,0.336,0.197,0.388,0.478,0.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ａ 群,0.576,1.165,1.992,0.68,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ｂ 群,0.069,0.434,0.437,1.67,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
教養学科国際日本研究コース,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.288,0.267,0.172,0.086,0.0
学際科学科国際環境学コース,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.62,0.233,0.184,0.456,0.0
生命化学・工学,0.0,0.0,0.0,4.014,24.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用生物学,0.0,0.0,0.0,1.092,5.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
森林生物科学,0.0,0.0,0.0,0.342,1.575,0.0,0.084,0.255,0.152,0.487,1.476,0.0
水圏生物科学,0.0,0.0,0.0,1.027,4.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
動物生命システム科学,0.0,0.0,0.0,0.213,2.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物素材化学,0.0,0.0,0.0,1.283,4.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
