,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
法学部,82.722,0.527,1.473,0.038,1.962,0.0,0.044,4.256,17.701,2.223,9.864,0.002
経済学部,0.0,77.055,0.0,0.953,2.047,0.0,5.253,0.0,0.059,4.219,8.469,0.0
A群（思想文化）,0.0,0.0,5.254,0.0,0.0,0.0,0.937,3.692,0.0,2.973,4.313,0.085
B群（歴史文化_日本史学）,0.0,0.0,2.277,0.0,0.0,0.0,0.092,2.774,0.0,1.018,0.116,0.0
C群（歴史文化_東洋史学）,0.0,0.0,0.159,0.0,0.0,0.0,0.094,5.7,0.0,0.058,0.148,0.0
D群（歴史文化_西洋史学）,0.0,0.0,1.445,0.0,0.0,0.0,0.072,4.049,0.0,0.045,0.797,0.037
E群（歴史文化_考古学）,0.0,0.0,0.747,0.0,0.0,0.0,0.119,0.089,0.0,1.217,1.235,0.001
F群（歴史文化_美術史学）,0.0,0.0,5.389,0.0,0.0,0.0,0.121,0.091,0.0,0.394,0.381,0.002
G群（言語文化）,0.0,0.0,8.806,0.0,0.0,0.0,1.009,12.622,0.0,1.073,0.295,0.0
H群（心理学）,0.0,0.0,2.0,0.0,0.0,0.0,0.122,0.063,1.783,0.946,1.086,0.0
I群（社会心理学）,0.0,0.0,2.787,0.0,0.0,0.0,1.065,1.793,0.0,0.054,0.088,0.0
J群（社会学）,0.0,0.0,9.0,0.0,0.0,0.0,1.125,0.064,5.344,0.119,0.348,0.0
基礎教育学,0.0,0.0,2.657,0.0,0.0,0.0,0.924,0.05,0.051,0.631,1.096,0.0
比較教育社会学,0.0,0.0,3.0,0.0,0.0,0.0,0.093,0.043,1.688,0.062,0.114,0.0
教育実践・政策学,0.0,0.0,3.982,0.0,0.0,0.0,0.094,0.052,1.637,0.094,2.055,0.0
教育心理学,0.0,0.0,4.0,0.136,1.85,0.0,0.067,0.055,0.802,0.009,0.067,0.0
身体教育学,0.0,0.0,0.0,0.0,0.0,0.0,1.088,3.79,0.044,0.193,0.339,0.0
薬学部,0.0,0.0,0.0,2.595,22.448,0.003,0.002,0.002,0.0,0.082,0.235,0.0
医学,0.0,0.0,0.0,0.0,3.0,31.856,0.0,0.0,0.473,0.0,0.527,0.0
健康総合科学,0.0,0.0,0.0,0.577,4.916,0.001,0.09,0.902,1.745,0.008,0.01,0.0
超域文化科学,1.0,0.972,9.0,0.0,0.0,0.0,0.037,0.025,0.735,0.071,0.132,0.0
地域文化研究,0.212,2.62,4.408,0.0,0.0,0.0,0.003,0.041,0.0,0.937,1.019,0.0
総合社会科学,3.341,4.627,1.0,0.0,0.0,0.0,0.011,0.011,0.78,0.078,0.12,0.0
数理自然科学,0.0,0.0,0.0,0.983,1.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
物質基礎科学,0.0,0.0,0.0,7.663,0.336,0.001,0.0,0.0,0.0,0.0,0.0,0.0
統合生命科学,0.0,0.0,0.0,2.976,5.021,0.001,0.115,0.077,0.02,0.333,0.45,0.0
認知行動科学,0.221,0.126,0.651,0.857,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ａ 群,0.276,2.106,1.608,0.104,0.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ｂ 群,0.133,0.132,0.731,0.918,2.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
教養学科国際日本研究コース,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.054,0.888,0.194,0.175,0.001
学際科学科国際環境学コース,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.95,0.039,0.204,0.283,0.001
生命化学・工学,0.0,0.0,0.0,1.553,19.235,0.002,0.0,0.0,0.0,0.0,0.0,0.0
応用生物学,0.0,0.0,0.0,0.577,5.622,0.001,0.0,0.0,0.0,0.0,0.0,0.0
森林生物科学,0.0,0.0,0.0,0.841,0.502,0.0,0.105,0.055,0.036,0.265,0.154,0.0
水圏生物科学,0.0,0.0,0.0,0.973,5.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
動物生命システム科学,0.0,0.0,0.0,0.039,2.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物素材化学,0.0,0.0,0.0,1.996,3.984,0.001,0.0,0.0,0.0,0.0,0.0,0.0
緑地環境学,0.0,0.0,0.0,0.941,1.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
森林環境資源科学,0.0,0.0,0.0,0.072,0.926,0.0,0.09,1.932,0.029,1.171,4.964,0.0
木質構造科学,0.0,0.0,0.0,0.109,2.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物・環境工学,0.001,0.091,0.069,1.54,2.555,0.001,0.0,0.006,0.003,0.343,0.485,0.0
農業・資源経済学,0.241,0.117,3.976,0.142,7.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
フィールド科学,0.0,0.0,0.0,0.865,1.135,0.0,0.002,0.073,0.758,0.063,0.104,0.0
国際開発農学,0.0,0.0,0.0,0.045,2.955,0.0,0.081,0.055,1.654,0.039,3.171,0.0
獣医学課程獣医学,0.0,0.0,0.0,1.216,5.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,6.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,5.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,2.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
建築学,0.0,0.0,0.0,13.0,0.0,0.0,0.839,0.053,0.008,0.022,1.078,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.036,0.004,0.038,1.921,0.001
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
機械工学B,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,17.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
精密工学,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.029,0.002,0.009,2.96,0.0
電子情報工学,0.0,0.0,0.0,14.0,0.0,0.0,1.721,0.059,0.0,3.286,4.931,0.0
電気電子工学,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用物理・物理工学,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.128,0.872,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.0,0.0,0.0,18.0,0.0,0.0,0.065,0.0,0.003,0.0,2.932,0.0
マテリアル工学A,0.0,0.0,0.0,5.631,1.527,0.0,0.0,0.0,0.0,0.41,0.467,0.0
マテリアル工学B,0.0,0.0,0.0,15.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用化学,0.0,0.0,0.0,5.382,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
化学システム工学,0.0,0.0,0.0,9.061,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
化学生命工学,0.0,0.0,0.0,4.263,6.999,0.001,0.0,0.001,0.0,0.0,0.999,0.0
システム創成A,0.0,0.0,0.0,9.533,1.409,0.0,0.0,0.07,0.043,0.317,0.458,0.0
システム創成B,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
システム創成C,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
数学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.737,0.247,0.001
情報科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,7.841,2.157,0.0
物理学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.689,2.307,0.0
天文学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,3.831,0.168,0.0
地球惑星物理学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,7.808,2.19,0.001
地球惑星環境学,0.0,0.0,0.0,3.906,0.094,0.0,0.001,0.0,0.0,1.924,0.075,0.0
化学,0.0,0.0,0.0,7.292,5.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物化学,0.0,0.0,0.0,0.968,5.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物情報科学,0.0,0.0,0.0,2.807,2.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.655,5.345,0.0
