,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
法学部,-5.231999999999999,0.528,-0.528,0.042,-0.04400000000000004,0.002,0.045,-1.8470000000000004,-0.5249999999999986,0.21300000000000008,1.0679999999999996,0.0
経済学部,0.0,-9.251000000000005,0.0,0.963,-0.9630000000000001,0.0,0.24399999999999977,0.0,0.05,-2.808,2.5139999999999993,0.0
A群（思想文化）,0.0,0.0,-1.6669999999999998,0.0,0.0,0.0,-0.007000000000000006,-0.28100000000000014,0.0,-0.029999999999999805,0.25100000000000033,0.067
B群（歴史文化_日本史学）,0.0,0.0,-0.7719999999999998,0.0,0.0,0.0,0.107,-0.20500000000000007,0.0,-0.02200000000000002,0.12,0.0
C群（歴史文化_東洋史学）,0.0,0.0,0.16,0.0,0.0,0.0,0.108,-0.32200000000000006,0.0,0.071,0.143,0.0
D群（歴史文化_西洋史学）,0.0,0.0,-0.498,0.0,0.0,0.0,0.075,-0.9669999999999996,0.0,0.037,-0.18700000000000006,0.042
E群（歴史文化_考古学）,0.0,0.0,-0.257,0.0,0.0,0.0,0.13,0.081,0.0,0.18599999999999994,0.278,0.0
F群（歴史文化_美術史学）,0.0,0.0,3.497,0.0,0.0,0.0,0.093,0.068,-2.0,0.407,0.388,0.004
G群（言語文化）,0.0,0.0,-3.1370000000000005,0.0,0.0,0.0,-0.02200000000000002,-0.37299999999999933,0.0,0.10000000000000009,0.291,0.0
H群（心理学）,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.056,-0.258,-0.013000000000000012,0.1080000000000001,0.001
I群（社会心理学）,0.0,0.0,-0.2200000000000002,0.0,0.0,0.0,-0.007000000000000006,-0.14700000000000002,0.0,0.067,0.087,0.0
J群（社会学）,0.0,0.0,0.0,0.0,0.0,0.0,0.11299999999999999,0.057,-0.6260000000000003,0.151,0.305,0.0
基礎教育学,0.0,0.0,-1.3860000000000001,0.0,0.0,0.0,-0.01200000000000001,0.046,0.037,-0.386,0.026000000000000023,0.0
比較教育社会学,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.042,-0.33000000000000007,0.046,0.13,0.0
教育実践・政策学,0.0,0.0,-0.015000000000000124,0.0,0.0,0.0,0.075,0.052,-0.30099999999999993,0.118,-0.0040000000000000036,0.0
