,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
法学部,-5.52,0.42,-0.42,0.8,-0.8,0.0,0.09,-2.85,-10.71,1.91,-5.71,0.0
経済学部,0.0,0.0,0.0,1.5,-1.5,0.0,-2.51,0.01,2.73,-0.69,0.46,0.0
A群（思想文化）,0.0,0.0,1.05,0.0,0.0,0.0,0.78,-0.37,0.78,-0.59,-1.36,0.0
B群（歴史文化_日本史学）,0.0,0.0,0.87,0.0,0.0,0.0,1.04,-1.19,0.02,-0.64,0.43,0.0
C群（歴史文化_東洋史学）,0.0,0.0,4.19,0.0,0.0,0.0,1.03,-3.02,0.0,0.49,0.29,0.0
D群（歴史文化_西洋史学）,0.0,0.0,3.18,0.0,0.0,0.0,0.9,-2.6,0.32,0.36,-0.1,0.0
E群（歴史文化_考古学）,0.0,0.0,1.46,0.0,0.0,0.0,0.58,0.79,0.0,-0.53,-0.2,0.0
F群（歴史文化_美術史学）,0.0,0.0,1.85,0.0,0.0,0.0,0.45,0.65,-2.0,0.38,0.43,0.0
G群（言語文化）,0.0,0.0,4.9,0.0,0.0,0.0,0.99,-5.96,0.03,1.25,2.6,0.0
H群（心理学）,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.85,-0.55,-0.56,-0.2,0.0
I群（社会心理学）,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,-1.22,0.85,0.29,0.63,0.0
J群（社会学）,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,1.73,-2.92,0.25,1.08,0.0
基礎教育学,0.0,0.0,-1.7,0.0,0.0,0.0,-0.87,0.85,0.13,-0.93,-0.61,0.0
比較教育社会学,0.0,0.0,-0.4,0.0,0.0,0.0,0.26,0.46,-1.5,0.17,0.21,0.0
教育実践・政策学,0.0,0.0,-1.31,0.0,0.0,0.0,0.06,0.75,-1.71,0.37,-1.6,0.0
教育心理学,0.0,0.0,-0.54,0.46,-1.01,0.0,0.25,0.24,-0.74,0.05,0.08,0.0
身体教育学,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,-2.42,0.3,0.17,0.84,0.0
薬学部,0.0,0.0,0.0,3.54,-5.69,0.0,0.0,0.0,0.0,0.27,0.51,0.0
医学,0.0,0.0,0.0,0.0,-1.35,-2.0,0.0,0.0,-0.85,0.0,-0.9,0.0
健康総合科学,0.0,0.0,0.0,1.46,-2.3,0.0,0.21,-0.78,-1.32,0.0,0.0,0.0
超域文化科学,0.06,-0.08,-1.21,0.0,0.0,0.0,0.17,0.14,-0.98,0.3,0.36,0.0
地域文化研究,1.46,-1.54,-1.27,0.0,0.0,0.0,0.28,0.41,0.12,-0.45,-0.44,0.0
総合社会科学,-0.62,-0.91,-0.07,0.0,0.0,0.0,0.0,0.02,-0.61,0.25,0.31,0.0
数理自然科学,0.0,0.0,0.0,0.42,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
物質基礎科学,0.0,0.0,0.0,-2.17,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
統合生命科学,0.0,0.0,0.0,-2.08,2.56,0.0,0.12,0.08,0.06,0.23,-0.74,0.0
認知行動科学,0.32,0.21,-0.6,-0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ａ 群,0.51,-0.81,0.01,0.62,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ｂ 群,0.07,0.42,-0.55,0.7,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
教養学科国際日本研究コース,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.29,-0.73,0.19,0.08,0.0
学際科学科国際環境学コース,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-0.42,0.2,0.17,0.46,0.0
生命化学・工学,0.0,0.0,0.0,3.01,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用生物学,0.0,0.0,0.0,1.1,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
森林生物科学,0.0,0.0,0.0,-0.66,1.56,0.0,0.08,0.26,0.14,0.49,1.46,0.0
水圏生物科学,0.0,0.0,0.0,0.01,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
動物生命システム科学,0.0,0.0,0.0,0.21,-0.26,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
生物素材化学,0.0,0.0,0.0,-0.74,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
緑地環境学,0.0,0.0,0.0,-0.56,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
森林環境資源科学,0.0,0.0,0.0,0.14,-0.14,0.0,0.06,-1.36,0.22,0.38,0.45,0.0
木質構造科学,0.0,0.0,0.0,0.53,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物・環境工学,0.0,0.16,0.13,-2.4,-1.64,0.0,0.0,0.04,0.02,1.07,4.02,0.0
農業・資源経済学,0.64,2.61,-3.35,0.72,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
フィールド科学,0.0,0.0,0.0,-0.75,0.75,0.0,0.0,0.1,-0.89,0.13,0.65,0.0
国際開発農学,0.0,0.0,0.0,0.35,-0.35,0.0,0.35,0.35,-1.16,0.6,-0.17,0.0
獣医学課程獣医学,0.0,0.0,0.0,-0.13,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
建築学,0.0,0.0,0.0,-3.14,0.0,0.0,-0.9,0.06,0.16,0.05,0.59,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.0,0.0,-1.03,0.0,0.0,0.0,0.05,0.1,0.13,-0.28,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,-0.19,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
