,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
法学部,-5.5660000000000025,0.415,-0.41500000000000004,0.838,-0.8400000000000001,0.0,0.106,-2.844,-10.693,1.8370000000000002,-5.677,0.0
経済学部,0.0,0.0,0.0,1.499,-1.499,0.0,-2.547,0.001,2.56,-0.6790000000000003,0.665,0.0
A群（思想文化）,0.0,0.0,1.0570000000000004,0.0,0.0,0.0,0.8420000000000001,-0.44799999999999995,0.861,-0.605,-1.295,0.0
B群（歴史文化_日本史学）,0.0,0.0,0.7400000000000002,0.0,0.0,0.0,1.101,-1.24,0.03,-0.602,0.423,0.0
C群（歴史文化_東洋史学）,0.0,0.0,4.184,0.0,0.0,0.0,0.988,-2.944,0.0,0.517,0.32,0.0
D群（歴史文化_西洋史学）,0.0,0.0,3.2039999999999997,0.0,0.0,0.0,0.863,-2.556,0.361,0.376,-0.14800000000000002,0.0
E群（歴史文化_考古学）,0.0,0.0,1.525,0.0,0.0,0.0,0.582,0.808,0.0,-0.525,-0.20099999999999996,0.0
F群（歴史文化_美術史学）,0.0,0.0,1.7679999999999998,0.0,0.0,0.0,0.442,0.633,-2.0,0.38,0.451,0.0
G群（言語文化）,0.0,0.0,4.869,0.0,0.0,0.0,1.0019999999999998,-5.968,0.019,1.327,2.503,0.0
H群（心理学）,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.883,-0.607,-0.5640000000000001,-0.16800000000000004,0.0
I群（社会心理学）,0.0,0.0,0.0,0.0,0.0,0.0,-0.554,-1.228,0.848,0.288,0.646,0.0
J群（社会学）,0.0,0.0,0.0,0.0,0.0,0.0,-0.11599999999999999,1.598,-2.855,0.288,1.085,0.0
基礎教育学,0.0,0.0,-1.7480000000000002,0.0,0.0,0.0,-0.841,0.808,0.12,-0.904,-0.613,0.0
比較教育社会学,0.0,0.0,-0.3879999999999999,0.0,0.0,0.0,0.256,0.501,-1.4849999999999999,0.174,0.223,0.0
教育実践・政策学,0.0,0.0,-1.2570000000000001,0.0,0.0,0.0,0.077,0.816,-1.703,0.343,-1.586,0.0
教育心理学,0.0,0.0,-0.565,0.448,-1.042,0.0,0.27,0.213,-0.739,0.045,0.073,0.0
身体教育学,0.0,0.0,0.0,0.0,0.0,0.0,-0.683,-2.3899999999999997,0.32,0.178,0.838,0.0
薬学部,0.0,0.0,0.0,3.6369999999999996,-5.8260000000000005,0.0,0.0,0.0,0.001,0.209,0.52,0.0
医学,0.0,0.0,0.0,0.0,-1.383,-2.0,0.0,0.0,-0.852,0.0,-0.908,0.0
健康総合科学,0.0,0.0,0.0,1.49,-2.315,0.0,0.2,-0.786,-1.241,0.0,0.0,0.0
超域文化科学,0.03200000000000003,-0.05900000000000005,-1.2249999999999996,0.0,0.0,0.0,0.18,0.133,-0.986,0.318,0.353,0.0
地域文化研究,1.435,-1.517,-1.2690000000000001,0.0,0.0,0.0,0.272,0.438,0.137,-0.45299999999999996,-0.46499999999999997,0.0
総合社会科学,-0.665,-0.8730000000000002,-0.06799999999999995,0.0,0.0,0.0,0.001,0.019,-0.617,0.262,0.305,0.0
数理自然科学,0.0,0.0,0.0,0.42199999999999993,-0.42200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
物質基礎科学,0.0,0.0,0.0,-2.136,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
統合生命科学,0.0,0.0,0.0,-2.173,2.596,0.0,0.111,0.092,0.064,0.228,-0.753,0.0
認知行動科学,0.336,0.197,-0.612,-0.522,0.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ａ 群,0.576,-0.835,-0.008000000000000007,0.68,-0.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ｂ 群,0.069,0.434,-0.563,0.6699999999999999,-0.6699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
教養学科国際日本研究コース,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.288,-0.733,0.172,0.086,0.0
学際科学科国際環境学コース,0.0,0.0,0.0,0.0,0.0,0.0,0.148,-0.38,0.233,0.184,0.456,0.0
生命化学・工学,0.0,0.0,0.0,3.0140000000000002,10.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応用生物学,0.0,0.0,0.0,1.092,1.5949999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
森林生物科学,0.0,0.0,0.0,-0.6579999999999999,1.575,0.0,0.084,0.255,0.152,0.487,1.476,0.0
水圏生物科学,0.0,0.0,0.0,0.026999999999999913,0.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
動物生命システム科学,0.0,0.0,0.0,0.213,-0.2530000000000001,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
生物素材化学,0.0,0.0,0.0,-0.7170000000000001,1.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
緑地環境学,0.0,0.0,0.0,-0.554,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
森林環境資源科学,0.0,0.0,0.0,0.13,-0.131,0.0,0.058,-1.367,0.188,0.3839999999999999,0.3689999999999998,0.0
木質構造科学,0.0,0.0,0.0,0.519,-0.5249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生物・環境工学,0.0,0.186,0.106,-2.414,-1.6070000000000002,0.0,0.0,0.038,0.021,1.152,4.127,0.0
農業・資源経済学,0.604,2.579,-3.284,0.693,-0.6929999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
フィールド科学,0.0,0.0,0.0,-0.777,0.7709999999999999,0.0,0.0,0.089,-0.904,0.123,0.686,0.0
国際開発農学,0.0,0.0,0.0,0.36,-0.3599999999999999,0.0,0.357,0.329,-1.119,0.588,-0.17099999999999982,0.0
獣医学課程獣医学,0.0,0.0,0.0,-0.17300000000000004,0.43400000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,-2.0279999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,-1.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,-0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
建築学,0.0,0.0,0.0,-3.101000000000001,0.0,0.0,-0.891,0.051,0.176,0.063,0.579,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.0,0.0,-1.04,0.0,0.0,0.0,0.059,0.094,0.169,-0.32299999999999995,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,-0.19299999999999962,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
機械工学B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,-1.841000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
