,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
法学部,-3.97,0.58,-0.58,0.03,-0.03,0.0,0.05,-2.05,0.33,0.22,1.07,0.0
経済学部,0.0,-6.65,0.0,0.78,-0.78,0.0,0.11,0.0,0.03,-1.83,1.69,0.0
A群（思想文化）,0.0,0.0,-1.43,0.0,0.0,0.0,0.05,-0.31,0.0,0.07,0.15,0.04
B群（歴史文化_日本史学）,0.0,0.0,-1.23,0.0,0.0,0.0,0.1,-0.63,0.08,-0.23,0.26,0.0
C群（歴史文化_東洋史学）,0.0,0.0,0.13,0.0,0.0,0.0,0.08,-1.73,0.0,0.14,0.18,0.0
D群（歴史文化_西洋史学）,0.0,0.0,-0.42,0.0,0.0,0.0,0.08,0.05,0.0,0.03,-0.19,0.03
E群（歴史文化_考古学）,0.0,0.0,-0.22,0.0,0.0,0.0,0.08,0.03,0.0,-0.31,-0.16,0.0
F群（歴史文化_美術史学）,0.0,0.0,-0.12,0.0,0.0,0.0,0.06,0.03,-0.95,0.18,0.19,0.0
G群（言語文化）,0.0,0.0,-2.46,0.0,0.0,0.0,0.08,-0.44,0.0,0.12,0.24,0.0
H群（心理学）,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,-0.03,-0.04,-0.04,0.0
I群（社会心理学）,0.0,0.0,-0.4,0.0,0.0,0.0,0.03,-0.14,0.0,0.04,0.06,0.0
J群（社会学）,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.03,-0.66,0.16,0.3,0.0
基礎教育学,0.0,0.0,-1.33,0.0,0.0,0.0,-0.02,0.02,0.07,-0.39,0.11,0.0
比較教育社会学,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,-0.23,0.04,0.09,0.0
教育実践・政策学,0.0,0.0,-0.02,0.0,0.0,0.0,0.07,0.02,-0.18,0.1,-0.05,0.0
教育心理学,0.0,0.0,0.0,0.11,-0.12,0.0,0.06,0.04,-0.15,0.0,0.05,0.0
身体教育学,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-0.82,0.01,0.09,0.16,0.0
薬学部,0.0,0.0,0.0,0.27,-4.85,0.0,0.0,0.0,0.0,0.07,0.19,0.0
医学,0.0,0.0,0.0,0.0,0.0,-2.11,0.0,0.0,-0.42,0.0,-0.58,0.0
健康総合科学,0.0,0.0,0.0,0.44,1.12,0.0,0.09,-0.03,-0.4,0.0,0.0,0.0
超域文化科学,0.04,-0.09,0.0,0.0,0.0,0.0,0.03,0.03,-0.19,0.05,0.08,0.0
地域文化研究,0.13,-0.35,-1.3,0.0,0.0,0.0,0.0,0.03,0.0,0.03,-0.06,0.0
総合社会科学,0.15,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.04,0.08,0.0
