,指定科類枠1,指定科類枠1の底点,指定科類枠2,指定科類枠2の底点,指定科類枠3,指定科類枠3の底点
法学部,1,44.30798372208341,23,83.49239801389135,456,79.03673141257181
経済学部,456,90.67843295246082,2,63.495329318690985,,
A群（思想文化）,3,59.356439542938965,,,,
B群（歴史文化_日本史学）,3,60.70334758113178,,,,
C群（歴史文化_東洋史学）,3,59.513388895657656,,,,
D群（歴史文化_西洋史学）,3,62.13914192366471,,,,
E群（歴史文化_考古学）,3,63.118813285214316,,,,
F群（歴史文化_美術史学）,3,60.01184980916058,,,,
G群（言語文化）,3,50.87480017953184,,,,
H群（心理学）,3,88.92450569226938,,,,
I群（社会心理学）,3,86.65462353544987,,,,
J群（社会学）,3,81.95528088279595,,,,
基礎教育学,3,63.99407737110382,,,,
比較教育社会学,3,66.74418732114714,,,,
教育実践・政策学,3,63.82393827050514,,,,
教育心理学,3,65.01064300707067,456,65.04665221252006,,
身体教育学,,,,,,
薬学部,456,50.4720947602332,,,,
医学,5,64.46647486316756,6,49.073920085738244,,
健康総合科学,456,58.422826331243265,,,,
超域文化科学,3,58.64047212787627,12,75.62543420604159,,
地域文化研究,3,60.939947455820715,12,68.45153303399998,,
総合社会科学,3,78.6811917802965,12,53.378659913574836,,
数理自然科学,456,80.871686632494,,,,
物質基礎科学,456,62.21522553339053,,,,
統合生命科学,456,58.93742092221322,,,,
認知行動科学,123,77.33550053823967,456,89.09438140811515,,
Ａ 群,123,63.715750198186136,456,82.49314613461793,,
Ｂ 群,123,75.61769325389406,456,80.0547272122211,,
教養学科国際日本研究コース,,,,,,
学際科学科国際環境学コース,,,,,,
生命化学・工学,456,49.18083335639879,,,,
応用生物学,456,53.575802135903366,,,,
森林生物科学,456,70.96661381002072,,,,
水圏生物科学,456,62.570381916023564,,,,
動物生命システム科学,456,71.95994186689082,,,,
生物素材化学,456,59.6124885212018,,,,
緑地環境学,456,75.02116598559608,,,,
森林環境資源科学,456,85.65551999418628,,,,
木質構造科学,456,73.54614493665466,,,,
生物・環境工学,123,66.71342175574154,456,69.38412735866348,,
農業・資源経済学,123,64.44649611381375,456,78.03316922751257,,
フィールド科学,456,78.62492066203303,,,,
国際開発農学,456,79.24297208526316,,,,
獣医学課程獣医学,456,55.91508867541435,,,,
社会基盤学Ａ（設計・技術戦略）,4,54.61914146663672,56,0.0,,
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,4,56.2096551594851,56,0.0,,
社会基盤学Ｃ（国際プロジェクト）,4,62.58307772771873,56,0.0,,
建築学,4,53.904909794218256,56,0.0,,
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,4,67.42908281381881,56,0.0,,
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,4,60.45962063379141,56,0.0,,
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,4,69.24500381592169,56,0.0,,
機械工学B,4,75.02995604725355,56,0.0,,
航空宇宙学,4,51.42258362527245,56,0.0,,
精密工学,4,79.94231127302571,56,0.0,,
電子情報工学,4,79.84704406984257,56,0.0,,
電気電子工学,4,72.7146058809386,56,0.0,,
応用物理・物理工学,4,69.2968740557425,56,0.0,,
計数工学・数理/ｼｽﾃﾑ情報,4,68.77962845678657,56,0.0,,
マテリアル工学A,4,64.78152763160054,56,80.95727375524622,,
マテリアル工学B,4,51.88898102745085,56,0.0,,
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,4,70.19595925333144,56,0.0,,
応用化学,4,50.35816960554718,56,67.50930975888332,,
化学システム工学,4,49.73816998676198,56,74.80454941336203,,
化学生命工学,4,54.8982331487821,56,58.286251459045715,,
システム創成A,4,66.71025147140553,56,81.39071566711328,,
システム創成B,4,70.1602460133613,56,0.0,,
システム創成C,4,76.44082572868325,56,87.66033631115339,,
数学,456,0.0,,,,
情報科学,456,0.0,,,,
物理学,456,0.0,,,,
天文学,456,0.0,,,,
地球惑星物理学,456,0.0,,,,
地球惑星環境学,456,71.5053709880831,,,,
化学,456,55.84570649731784,,,,
生物化学,456,65.45308107980442,,,,
生物情報科学,456,71.42205441856822,,,,
生物学,456,0.0,,,,
