,指定科類枠1,指定科類枠1の底点,指定科類枠2,指定科類枠2の底点,指定科類枠3,指定科類枠3の底点
法学部,1,60.13871141882276,23,80.9580394244127,456,78.65976684887738
経済学部,456,90.56413872514484,2,70.30854046756023,,
A群（思想文化）,3,58.65982756003365,,,,
B群（歴史文化_日本史学）,3,60.50799536344905,,,,
C群（歴史文化_東洋史学）,3,59.247621209949315,,,,
D群（歴史文化_西洋史学）,3,60.83657728122794,,,,
E群（歴史文化_考古学）,3,63.2954235925672,,,,
F群（歴史文化_美術史学）,3,60.05931803469751,,,,
G群（言語文化）,3,50.84749775398774,,,,
H群（心理学）,3,88.47626789417274,,,,
I群（社会心理学）,3,86.14749982496804,,,,
J群（社会学）,3,81.67216371707168,,,,
基礎教育学,3,63.97778932656483,,,,
比較教育社会学,3,66.59409864452353,,,,
教育実践・政策学,3,63.839734672958144,,,,
教育心理学,3,64.42237586928651,456,65.80816801939434,,
身体教育学,,,,,,
薬学部,456,49.89426231112377,,,,
医学,5,64.55539974646695,6,48.68896880269215,,
健康総合科学,456,57.77946362299481,,,,
超域文化科学,3,58.19895949430198,12,63.7420136333407,,
地域文化研究,3,60.30925973274273,12,60.07112723915273,,
総合社会科学,3,78.3275305294422,12,52.35705749124526,,
数理自然科学,456,80.45005154988888,,,,
物質基礎科学,456,61.653319030238315,,,,
統合生命科学,456,58.763878036806105,,,,
認知行動科学,123,72.04044245935269,456,88.15111910741896,,
Ａ 群,123,60.72614795732749,456,82.46669541333145,,
Ｂ 群,123,71.25215651085706,456,79.85505272002129,,
教養学科国際日本研究コース,,,,,,
学際科学科国際環境学コース,,,,,,
生命化学・工学,456,49.01267788950965,,,,
応用生物学,456,53.774205210819254,,,,
森林生物科学,456,70.39228676156559,,,,
水圏生物科学,456,61.977801117932316,,,,
動物生命システム科学,456,71.69141687337695,,,,
生物素材化学,456,59.9399381484624,,,,
緑地環境学,456,74.38848842944032,,,,
森林環境資源科学,456,86.08190645135333,,,,
木質構造科学,456,73.27144062026885,,,,
生物・環境工学,123,65.02474311488626,456,68.99739398146122,,
農業・資源経済学,123,60.60191105852182,456,78.1051195117543,,
フィールド科学,456,78.39812407456536,,,,
国際開発農学,456,78.61478252484984,,,,
獣医学課程獣医学,456,56.89760460155367,,,,
社会基盤学Ａ（設計・技術戦略）,4,55.085953583798066,56,0.0,,
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,4,56.47705853806271,56,0.0,,
社会基盤学Ｃ（国際プロジェクト）,4,62.23567342254439,56,0.0,,
建築学,4,53.63703222822318,56,0.0,,
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,4,67.0922071450297,56,0.0,,
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,4,60.40550429298697,56,0.0,,
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,4,68.97390672537439,56,0.0,,
機械工学B,4,74.91933413590269,56,0.0,,
航空宇宙学,4,50.87530576520894,56,0.0,,
精密工学,4,79.75933647737195,56,0.0,,
電子情報工学,4,79.89028263054838,56,0.0,,
電気電子工学,4,72.6116796471527,56,0.0,,
応用物理・物理工学,4,68.99945298735618,56,0.0,,
計数工学・数理/ｼｽﾃﾑ情報,4,68.74422876882704,56,0.0,,
マテリアル工学A,4,64.33569877743511,56,81.23158996038963,,
マテリアル工学B,4,51.486667216603735,56,0.0,,
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,4,70.30683439625152,56,0.0,,
応用化学,4,50.21957703967996,56,67.96712641551137,,
化学システム工学,4,50.15125478616629,56,75.5016037113667,,
化学生命工学,4,55.15399148725888,56,58.10360474750896,,
システム創成A,4,66.60307515831823,56,81.54896204926905,,
システム創成B,4,69.84812547494474,56,0.0,,
システム創成C,4,76.62124538571702,56,87.56530896324082,,
数学,456,0.0,,,,
情報科学,456,0.0,,,,
物理学,456,0.0,,,,
天文学,456,0.0,,,,
地球惑星物理学,456,0.0,,,,
地球惑星環境学,456,71.40404102292922,,,,
化学,456,54.888715025824894,,,,
生物化学,456,65.29367642146482,,,,
生物情報科学,456,71.05889437835424,,,,
生物学,456,0.0,,,,
