,指定科類枠1,指定科類枠1の底点,指定科類枠2,指定科類枠2の底点,指定科類枠3,指定科類枠3の底点
法学部,1,60.216496564976126,23,60.211786308780084,456,60.165280017404235
経済学部,456,90.52323437426841,2,70.24252834649387,,
A群（思想文化）,3,58.882601592071154,,,,
B群（歴史文化_日本史学）,3,60.9053934316677,,,,
C群（歴史文化_東洋史学）,3,59.90049887615404,,,,
D群（歴史文化_西洋史学）,3,61.28797122305663,,,,
E群（歴史文化_考古学）,3,62.90197724591095,,,,
F群（歴史文化_美術史学）,3,60.05094288354856,,,,
G群（言語文化）,3,50.92725991775928,,,,
H群（心理学）,3,88.95734422083753,,,,
I群（社会心理学）,3,86.4513247422958,,,,
J群（社会学）,3,81.53272262743626,,,,
基礎教育学,3,64.30106362629697,,,,
比較教育社会学,3,66.73981702756272,,,,
教育実践・政策学,3,63.232547993827104,,,,
教育心理学,3,64.37605306749751,456,59.832940016968465,,
身体教育学,,,,,,
薬学部,456,50.05071350732303,,,,
医学,5,65.06490119617011,6,48.89156676954969,,
健康総合科学,456,58.24124628247923,,,,
超域文化科学,3,58.09208206571758,12,56.15555011130358,,
地域文化研究,3,60.013781436160606,12,55.73780570014356,,
総合社会科学,3,77.6274837587758,12,52.881717178911295,,
数理自然科学,456,80.18250704818121,,,,
物質基礎科学,456,61.49912993415295,,,,
統合生命科学,456,58.667707752615975,,,,
認知行動科学,123,72.09558996539917,456,73.66034393148668,,
Ａ 群,123,60.84566823398213,456,60.71175467625742,,
Ｂ 群,123,82.33467554928579,456,70.47583330197575,,
教養学科国際日本研究コース,,,,,,
学際科学科国際環境学コース,,,,,,
生命化学・工学,456,48.77255690152324,,,,
応用生物学,456,54.50526004362038,,,,
森林生物科学,456,70.97167783773352,,,,
水圏生物科学,456,62.1986271015007,,,,
動物生命システム科学,456,71.12772917958824,,,,
生物素材化学,456,60.13482319791041,,,,
緑地環境学,456,74.7580675470834,,,,
森林環境資源科学,456,86.48840142407595,,,,
木質構造科学,456,73.57125981006975,,,,
生物・環境工学,123,101.64090884345909,456,66.54765431745057,,
農業・資源経済学,123,60.9754828568796,456,60.97027221489585,,
フィールド科学,456,78.60876535500297,,,,
国際開発農学,456,78.79354582701596,,,,
獣医学課程獣医学,456,55.7648010155813,,,,
社会基盤学Ａ（設計・技術戦略）,4,54.87623655597029,56,54.87623655597029,,
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,4,56.40216328326513,56,56.40216328326513,,
社会基盤学Ｃ（国際プロジェクト）,4,62.41476067218496,56,62.41476067218496,,
建築学,4,53.932895392618605,56,53.932895392618605,,
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,4,67.25466875799172,56,67.25466875799172,,
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,4,60.36244487181233,56,60.36244487181233,,
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,4,69.04392388644442,56,69.04392388644442,,
機械工学B,4,74.91565160752421,56,74.91565160752421,,
航空宇宙学,4,51.06254259324857,56,51.06254259324857,,
精密工学,4,79.55969959412947,56,79.55969959412947,,
電子情報工学,4,79.97719397537786,56,79.97719397537786,,
電気電子工学,4,72.6175574624444,56,72.6175574624444,,
応用物理・物理工学,4,69.17067142496454,56,69.17067142496454,,
計数工学・数理/ｼｽﾃﾑ情報,4,68.84361533861555,56,68.84361533861555,,
マテリアル工学A,4,64.57858144170478,56,64.37473661828389,,
マテリアル工学B,4,51.92150029566519,56,51.92150029566519,,
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,4,69.95757307397547,56,69.95757307397547,,
応用化学,4,50.47915850864984,56,50.070157176471234,,
化学システム工学,4,50.01637481511875,56,49.9316045272472,,
化学生命工学,4,54.53138299795525,56,51.899198144324004,,
システム創成A,4,66.52808882956577,56,66.39701272978569,,
システム創成B,4,70.0846532626798,56,70.0846532626798,,
システム創成C,4,76.6329268795628,56,76.46217111823618,,
数学,456,10000.0,,,,
情報科学,456,10000.0,,,,
物理学,456,10000.0,,,,
天文学,456,10000.0,,,,
地球惑星物理学,456,10000.0,,,,
地球惑星環境学,456,71.35038883738683,,,,
化学,456,55.145835945749184,,,,
生物化学,456,65.35092094251239,,,,
生物情報科学,456,71.23909627663556,,,,
生物学,456,10000.0,,,,
