,指定科類枠1,指定科類枠1の底点,指定科類枠2,指定科類枠2の底点,指定科類枠3,指定科類枠3の底点
法学部,23,78.65348274160277,456,76.61852546662357,1,62.62403934953393
経済学部,456,81.14490375117708,2,70.34362650204108,,
A群（思想文化）,3,68.64080715959061,,,,
B群（歴史文化_日本史学）,3,69.09282696331145,,,,
C群（歴史文化_東洋史学）,3,68.84219894886016,,,,
D群（歴史文化_西洋史学）,3,69.56461031358371,,,,
E群（歴史文化_考古学）,3,70.26882884969396,,,,
F群（歴史文化_美術史学）,3,69.05624835078576,,,,
G群（言語文化）,3,65.27617036226081,,,,
H群（心理学）,3,80.71627256577963,,,,
I群（社会心理学）,3,79.7553440638677,,,,
J群（社会学）,3,77.6707991922715,,,,
基礎教育学,3,70.36672452391245,,,,
比較教育社会学,3,71.77132377262757,,,,
教育実践・政策学,3,70.62452014512824,,,,
教育心理学,456,71.21090117871456,3,70.85315773920554,,
身体教育学,,,,,,
薬学部,456,65.23764156250087,,,,
医学,5,71.03744672665299,6,64.63399327997607,,
健康総合科学,456,68.01410218669903,,,,
超域文化科学,12,75.19009084938551,3,68.26179777509519,,
地域文化研究,12,72.46759262192374,3,69.3891553681478,,
総合社会科学,12,66.4763086160358,3,76.30916286121467,,
数理自然科学,456,77.36486115173105,,,,
物質基礎科学,456,69.84413529195,,,,
統合生命科学,456,68.44256036600173,,,,
認知行動科学,123,76.1044655513017,456,80.44200312570476,,
Ａ 群,123,70.2797154631784,456,78.06576926548942,,
Ｂ 群,123,75.17520814330403,456,76.96791534922828,,
教養学科国際日本研究コース,,,,,,
学際科学科国際環境学コース,,,,,,
生命化学・工学,456,64.55470064146893,,,,
応用生物学,456,66.51550745522492,,,,
森林生物科学,456,73.34208794574185,,,,
水圏生物科学,456,70.07240844244734,,,,
動物生命システム科学,456,73.64778054650832,,,,
生物素材化学,456,69.10145581433342,,,,
緑地環境学,456,74.9128630529774,,,,
森林環境資源科学,456,79.57547550088819,,,,
木質構造科学,456,74.36324952927617,,,,
生物・環境工学,123,71.37315054314413,456,72.55892754193863,,
農業・資源経済学,123,70.86158052002334,456,76.19609456408506,,
フィールド科学,456,76.3250616591021,,,,
国際開発農学,456,76.44779597281624,,,,
獣医学課程獣医学,456,67.24083571302467,,,,
社会基盤学Ａ（設計・技術戦略）,4,66.8420811253809,56,0.0,,
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,4,67.5526812464585,56,0.0,,
社会基盤学Ｃ（国際プロジェクト）,4,69.9710746653184,56,0.0,,
建築学,4,66.55871615689651,56,0.0,,
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,4,71.75446074944429,56,0.0,,
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,4,69.02534649944272,56,0.0,,
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,4,72.66039807646004,56,0.0,,
機械工学B,4,74.9599690350873,56,0.0,,
航空宇宙学,4,65.55424026789105,56,0.0,,
精密工学,4,76.8367298497421,56,0.0,,
電子情報工学,4,76.96937578948155,56,0.0,,
電気電子工学,4,74.04902910083692,56,0.0,,
応用物理・物理工学,4,72.78779733554161,56,0.0,,
計数工学・数理/ｼｽﾃﾑ情報,4,72.44229285731195,56,0.0,,
マテリアル工学A,4,70.95896265185195,56,77.45844463836073,,
マテリアル工学B,4,65.81957128495225,56,0.0,,
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,4,73.11498037852095,56,0.0,,
応用化学,4,65.18213390001704,56,72.10101567854265,,
化学システム工学,4,64.91135903637694,56,75.23154355248577,,
化学生命工学,4,66.91197692962125,56,68.3320487037034,,
システム創成A,4,71.63851961853887,56,77.6143557865219,,
システム創成B,4,73.10643221186001,56,0.0,,
システム創成C,4,75.5962461146585,56,80.05921484933036,,
数学,456,0.0,,,,
情報科学,456,0.0,,,,
物理学,456,0.0,,,,
天文学,456,0.0,,,,
地球惑星物理学,456,0.0,,,,
地球惑星環境学,456,73.5053202513294,,,,
化学,456,67.2750254130193,,,,
生物化学,456,71.29606036383598,,,,
生物情報科学,456,73.4336352042676,,,,
生物学,456,0.0,,,,
