,l1,l2,l3,s1,s2,s3
法学部,82.467,0.41,1.59,0.833,1.167,0.0
経済学部,0.0,86.0,0.0,1.486,1.514,0.0
A群（思想文化）,0.0,0.0,8.152,0.0,0.0,0.0
B群（歴史文化_日本史学）,0.0,0.0,3.842,0.0,0.0,0.0
C群（歴史文化_東洋史学）,0.0,0.0,4.145,0.0,0.0,0.0
D群（歴史文化_西洋史学）,0.0,0.0,5.229,0.0,0.0,0.0
E群（歴史文化_考古学）,0.0,0.0,2.482,0.0,0.0,0.0
F群（歴史文化_美術史学）,0.0,0.0,3.761,0.0,0.0,0.0
G群（言語文化）,0.0,0.0,16.729,0.0,0.0,0.0
H群（心理学）,0.0,0.0,2.0,0.0,0.0,0.0
I群（社会心理学）,0.0,0.0,3.0,0.0,0.0,0.0
J群（社会学）,0.0,0.0,9.0,0.0,0.0,0.0
基礎教育学,0.0,0.0,2.282,0.0,0.0,0.0
比較教育社会学,0.0,0.0,2.57,0.0,0.0,0.0
教育実践・政策学,0.0,0.0,2.736,0.0,0.0,0.0
教育心理学,0.0,0.0,3.409,0.516,0.935,0.0
身体教育学,0.0,0.0,0.0,0.0,0.0,0.0
薬学部,0.0,0.0,0.0,5.636,20.964,0.0
医学,0.0,0.0,0.0,0.0,1.643,32.0
健康総合科学,0.0,0.0,0.0,1.465,1.712,0.0
超域文化科学,1.046,0.934,7.807,0.0,0.0,0.0
地域文化研究,1.438,1.488,4.726,0.0,0.0,0.0
総合社会科学,2.358,4.089,0.926,0.0,0.0,0.0
数理自然科学,0.0,0.0,0.0,1.417,0.583,0.0
物質基礎科学,0.0,0.0,0.0,5.843,1.999,0.0
統合生命科学,0.0,0.0,0.0,2.907,4.562,0.0
認知行動科学,0.338,0.169,0.421,0.499,0.501,0.0
Ａ 群,0.571,1.201,1.946,0.617,0.381,0.0
Ｂ 群,0.081,0.379,0.47,1.672,1.328,0.0
教養学科国際日本研究コース,0.0,0.0,0.0,0.0,0.0,0.0
学際科学科国際環境学コース,0.0,0.0,0.0,0.0,0.0,0.0
生命化学・工学,0.0,0.0,0.0,3.934,24.665,0.0
応用生物学,0.0,0.0,0.0,1.12,5.582,0.0
森林生物科学,0.0,0.0,0.0,0.352,1.543,0.0
水圏生物科学,0.0,0.0,0.0,0.988,4.754,0.0
動物生命システム科学,0.0,0.0,0.0,0.209,2.749,0.0
生物素材化学,0.0,0.0,0.0,1.229,4.154,0.0
緑地環境学,0.0,0.0,0.0,0.43,1.546,0.0
森林環境資源科学,0.0,0.0,0.0,0.137,0.863,0.0
木質構造科学,0.0,0.0,0.0,0.51,2.474,0.0
生物・環境工学,0.0,0.168,0.112,0.633,4.33,0.0
農業・資源経済学,0.612,2.628,1.683,0.709,7.291,0.0
フィールド科学,0.0,0.0,0.0,0.239,1.757,0.0
国際開発農学,0.0,0.0,0.0,0.348,2.652,0.0
獣医学課程獣医学,0.0,0.0,0.0,0.855,4.552,0.0
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,4.983,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,4.776,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,2.622,0.0,0.0
建築学,0.0,0.0,0.0,11.949,0.0,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.0,0.0,3.957,0.0,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,9.834,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0,0.0,0.0,31.0,0.0,0.0
機械工学B,0.0,0.0,0.0,13.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,16.212,0.0,0.0
精密工学,0.0,0.0,0.0,11.0,0.0,0.0
電子情報工学,0.0,0.0,0.0,14.0,0.0,0.0
電気電子工学,0.0,0.0,0.0,21.0,0.0,0.0
応用物理・物理工学,0.0,0.0,0.0,14.0,0.0,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.0,0.0,0.0,18.0,0.0,0.0
マテリアル工学A,0.0,0.0,0.0,6.948,1.998,0.0
マテリアル工学B,0.0,0.0,0.0,15.459,0.0,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0,0.0,0.0,9.999,0.0,0.0
応用化学,0.0,0.0,0.0,9.282,3.873,0.0
化学システム工学,0.0,0.0,0.0,12.438,2.986,0.0
化学生命工学,0.0,0.0,0.0,6.7,5.704,0.0
システム創成A,0.0,0.0,0.0,11.997,1.997,0.0
システム創成B,0.0,0.0,0.0,11.0,0.0,0.0
システム創成C,0.0,0.0,0.0,12.0,2.0,0.0
数学,0.0,0.0,0.0,0.0,0.0,0.0
情報科学,0.0,0.0,0.0,0.0,0.0,0.0
物理学,0.0,0.0,0.0,0.0,0.0,0.0
天文学,0.0,0.0,0.0,0.0,0.0,0.0
地球惑星物理学,0.0,0.0,0.0,0.0,0.0,0.0
地球惑星環境学,0.0,0.0,0.0,1.981,2.014,0.0
化学,0.0,0.0,0.0,5.329,6.791,0.0
生物化学,0.0,0.0,0.0,1.006,4.919,0.0
生物情報科学,0.0,0.0,0.0,2.048,2.946,0.0
生物学,0.0,0.0,0.0,0.0,0.0,0.0
