,l1,l2,l3,s1,s2,s3
法学部,88.0,0.032,1.968,0.82,1.18,0.0
経済学部,0.0,86.0,0.0,1.476,1.524,0.0
A群（思想文化）,0.0,0.0,7.866,0.0,0.0,0.0
B群（歴史文化_日本史学）,0.0,0.0,3.547,0.0,0.0,0.0
C群（歴史文化_東洋史学）,0.0,0.0,3.819,0.0,0.0,0.0
D群（歴史文化_西洋史学）,0.0,0.0,5.017,0.0,0.0,0.0
E群（歴史文化_考古学）,0.0,0.0,2.373,0.0,0.0,0.0
F群（歴史文化_美術史学）,0.0,0.0,3.626,0.0,0.0,0.0
G群（言語文化）,0.0,0.0,15.767,0.0,0.0,0.0
H群（心理学）,0.0,0.0,2.0,0.0,0.0,0.0
I群（社会心理学）,0.0,0.0,3.0,0.0,0.0,0.0
J群（社会学）,0.0,0.0,9.0,0.0,0.0,0.0
基礎教育学,0.0,0.0,2.14,0.0,0.0,0.0
比較教育社会学,0.0,0.0,2.563,0.0,0.0,0.0
教育実践・政策学,0.0,0.0,2.635,0.0,0.0,0.0
教育心理学,0.0,0.0,3.34,0.433,0.959,0.0
身体教育学,0.0,0.0,0.0,0.0,0.0,0.0
薬学部,0.0,0.0,0.0,5.44,21.039,0.0
医学,0.0,0.0,0.0,0.0,1.636,32.0
健康総合科学,0.0,0.0,0.0,1.418,1.606,0.0
超域文化科学,0.35,1.56,7.377,0.0,0.0,0.0
地域文化研究,0.396,2.343,4.633,0.0,0.0,0.0
総合社会科学,0.498,4.439,0.917,0.0,0.0,0.0
数理自然科学,0.0,0.0,0.0,1.44,0.56,0.0
物質基礎科学,0.0,0.0,0.0,5.866,1.979,0.0
統合生命科学,0.0,0.0,0.0,2.941,4.489,0.0
認知行動科学,0.073,0.219,0.558,0.486,0.514,0.0
Ａ 群,0.099,1.321,2.161,0.638,0.357,0.0
Ｂ 群,0.01,0.348,0.547,1.699,1.301,0.0
教養学科国際日本研究コース,0.0,0.0,0.0,0.0,0.0,0.0
学際科学科国際環境学コース,0.0,0.0,0.0,0.0,0.0,0.0
生命化学・工学,0.0,0.0,0.0,3.924,24.379,0.0
応用生物学,0.0,0.0,0.0,1.083,5.37,0.0
森林生物科学,0.0,0.0,0.0,0.32,1.561,0.0
水圏生物科学,0.0,0.0,0.0,1.037,4.655,0.0
動物生命システム科学,0.0,0.0,0.0,0.211,2.735,0.0
生物素材化学,0.0,0.0,0.0,1.285,4.102,0.0
緑地環境学,0.0,0.0,0.0,0.442,1.537,0.0
森林環境資源科学,0.0,0.0,0.0,0.152,0.848,0.0
木質構造科学,0.0,0.0,0.0,0.532,2.448,0.0
生物・環境工学,0.0,0.158,0.102,0.579,4.392,0.0
農業・資源経済学,0.092,2.966,1.794,0.682,7.318,0.0
フィールド科学,0.0,0.0,0.0,0.245,1.753,0.0
国際開発農学,0.0,0.0,0.0,0.352,2.648,0.0
獣医学課程獣医学,0.0,0.0,0.0,0.822,4.415,0.0
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,4.819,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,4.88,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,2.629,0.0,0.0
建築学,0.0,0.0,0.0,11.944,0.0,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.0,0.0,3.972,0.0,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,9.803,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0,0.0,0.0,31.0,0.0,0.0
機械工学B,0.0,0.0,0.0,13.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,15.95,0.0,0.0
精密工学,0.0,0.0,0.0,11.0,0.0,0.0
電子情報工学,0.0,0.0,0.0,14.0,0.0,0.0
電気電子工学,0.0,0.0,0.0,21.0,0.0,0.0
応用物理・物理工学,0.0,0.0,0.0,14.0,0.0,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.0,0.0,0.0,18.0,0.0,0.0
マテリアル工学A,0.0,0.0,0.0,6.95,1.997,0.0
マテリアル工学B,0.0,0.0,0.0,15.283,0.0,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0,0.0,0.0,10.0,0.0,0.0
応用化学,0.0,0.0,0.0,9.179,3.859,0.0
化学システム工学,0.0,0.0,0.0,12.324,2.978,0.0
化学生命工学,0.0,0.0,0.0,6.567,5.532,0.0
システム創成A,0.0,0.0,0.0,11.991,1.999,0.0
システム創成B,0.0,0.0,0.0,11.0,0.0,0.0
システム創成C,0.0,0.0,0.0,12.0,2.0,0.0
数学,0.0,0.0,0.0,0.0,0.0,0.0
情報科学,0.0,0.0,0.0,0.0,0.0,0.0
物理学,0.0,0.0,0.0,0.0,0.0,0.0
天文学,0.0,0.0,0.0,0.0,0.0,0.0
地球惑星物理学,0.0,0.0,0.0,0.0,0.0,0.0
地球惑星環境学,0.0,0.0,0.0,2.017,1.972,0.0
化学,0.0,0.0,0.0,5.378,6.672,0.0
生物化学,0.0,0.0,0.0,1.071,4.78,0.0
生物情報科学,0.0,0.0,0.0,2.009,2.982,0.0
生物学,0.0,0.0,0.0,0.0,0.0,0.0
