,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）
法学部,84.035,0.577,1.423,0.033,1.967,0.0
経済学部,0.0,79.354,0.0,0.778,2.222,0.0
A群（思想文化）,0.0,0.0,5.573,0.0,0.0,0.0
B群（歴史文化_日本史学）,0.0,0.0,1.768,0.0,0.0,0.0
C群（歴史文化_東洋史学）,0.0,0.0,0.126,0.0,0.0,0.0
D群（歴史文化_西洋史学）,0.0,0.0,1.585,0.0,0.0,0.0
E群（歴史文化_考古学）,0.0,0.0,0.777,0.0,0.0,0.0
F群（歴史文化_美術史学）,0.0,0.0,1.878,0.0,0.0,0.0
G群（言語文化）,0.0,0.0,9.542,0.0,0.0,0.0
H群（心理学）,0.0,0.0,2.0,0.0,0.0,0.0
I群（社会心理学）,0.0,0.0,2.598,0.0,0.0,0.0
J群（社会学）,0.0,0.0,9.0,0.0,0.0,0.0
基礎教育学,0.0,0.0,2.674,0.0,0.0,0.0
比較教育社会学,0.0,0.0,3.0,0.0,0.0,0.0
教育実践・政策学,0.0,0.0,3.985,0.0,0.0,0.0
教育心理学,0.0,0.0,4.0,0.112,1.877,0.0
身体教育学,0.0,0.0,0.0,0.0,0.0,0.0
薬学部,0.0,0.0,0.0,2.273,22.146,0.002
医学,0.0,0.0,0.0,0.0,3.0,31.891
健康総合科学,0.0,0.0,0.0,0.44,5.119,0.0
超域文化科学,1.044,0.909,9.0,0.0,0.0,0.0
地域文化研究,0.13,2.652,4.697,0.0,0.0,0.0
総合社会科学,3.145,4.771,1.0,0.0,0.0,0.0
数理自然科学,0.0,0.0,0.0,1.016,0.983,0.001
物質基礎科学,0.0,0.0,0.0,7.727,0.272,0.001
統合生命科学,0.0,0.0,0.0,2.137,4.394,0.005
認知行動科学,0.161,0.069,0.769,0.894,0.106,0.0
Ａ 群,0.165,2.074,1.713,0.089,0.91,0.001
Ｂ 群,0.146,0.077,0.775,1.019,1.981,0.0
教養学科国際日本研究コース,0.0,0.0,0.0,0.0,0.0,0.0
学際科学科国際環境学コース,0.0,0.0,0.0,0.0,0.0,0.0
生命化学・工学,0.0,0.0,0.0,1.311,18.782,0.0
応用生物学,0.0,0.0,0.0,0.425,5.414,0.002
森林生物科学,0.0,0.0,0.0,0.893,0.435,0.002
水圏生物科学,0.0,0.0,0.0,1.001,4.999,0.0
動物生命システム科学,0.0,0.0,0.0,0.033,2.967,0.0
生物素材化学,0.0,0.0,0.0,2.193,3.79,0.001
緑地環境学,0.0,0.0,0.0,1.017,0.983,0.0
森林環境資源科学,0.0,0.0,0.0,0.052,0.948,0.0
木質構造科学,0.0,0.0,0.0,0.08,2.92,0.0
生物・環境工学,0.002,0.061,0.038,3.008,6.411,0.0
農業・資源経済学,0.189,0.072,4.013,0.108,7.89,0.002
フィールド科学,0.0,0.0,0.0,0.895,1.105,0.0
国際開発農学,0.0,0.0,0.0,0.037,2.962,0.001
獣医学課程獣医学,0.0,0.0,0.0,1.181,5.478,0.001
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,6.98,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,5.998,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,2.997,0.0,0.0
建築学,0.0,0.0,0.0,15.0,0.0,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.0,0.0,5.0,0.0,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,10.0,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0,0.0,0.0,31.0,0.0,0.0
機械工学B,0.0,0.0,0.0,13.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,17.999,0.0,0.0
精密工学,0.0,0.0,0.0,11.0,0.0,0.0
電子情報工学,0.0,0.0,0.0,14.0,0.0,0.0
電気電子工学,0.0,0.0,0.0,23.996,0.0,0.0
応用物理・物理工学,0.0,0.0,0.0,12.0,0.0,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.0,0.0,0.0,18.0,0.0,0.0
マテリアル工学A,0.0,0.0,0.0,8.447,1.922,0.001
マテリアル工学B,0.0,0.0,0.0,9.884,0.0,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0,0.0,0.0,9.0,0.0,0.0
応用化学,0.0,0.0,0.0,5.189,2.726,0.001
化学システム工学,0.0,0.0,0.0,8.877,3.0,0.0
化学生命工学,0.0,0.0,0.0,3.886,7.0,0.0
システム創成A,0.0,0.0,0.0,9.144,1.334,0.001
システム創成B,0.0,0.0,0.0,11.0,0.0,0.0
システム創成C,0.0,0.0,0.0,12.0,2.0,0.0
数学,0.0,0.0,0.0,0.0,0.0,0.0
情報科学,0.0,0.0,0.0,0.0,0.0,0.0
物理学,0.0,0.0,0.0,0.0,0.0,0.0
天文学,0.0,0.0,0.0,0.0,0.0,0.0
地球惑星物理学,0.0,0.0,0.0,0.0,0.0,0.0
地球惑星環境学,0.0,0.0,0.0,3.948,0.052,0.0
化学,0.0,0.0,0.0,7.577,5.423,0.0
生物化学,0.0,0.0,0.0,1.022,4.977,0.001
生物情報科学,0.0,0.0,0.0,2.946,2.053,0.001
生物学,0.0,0.0,0.0,0.0,0.0,0.0
