,指定科類枠の効用減,指定科類枠の効用増,全科類枠の効用減,全科類枠の効用増
法学部,298.0642207463574,44.02362135222181,320.77218463510866,222.25708543329662
経済学部,1275.5982320225482,45.72563643589508,269.4253332447027,1267.407473401162
A群（思想文化）,31.333061354840368,1.1179614527521151,105.29897256966973,395.98107329272625
B群（歴史文化_日本史学）,13.379778868272526,0.0,22.686878891942012,390.00578619460885
C群（歴史文化_東洋史学）,2.8783157180958847,0.0,36.952725484191475,650.8359090335136
D群（歴史文化_西洋史学）,12.417936090582492,0.06759482449613961,9.8929541289776,385.3794744489786
E群（歴史文化_考古学）,5.687975750781055,0.0,42.50756723468379,73.53643292294535
F群（歴史文化_美術史学）,20.71218275655391,0.0,31.29965152777395,4.975394869275433
G群（言語文化）,47.46453522912589,0.0,133.70176180312856,704.7049052162942
H群（心理学）,0.4752714792401565,0.4686524317971983,19.20923906217697,18.77289833217935
I群（社会心理学）,13.393928884975164,6.863349957978678,5.505846727029976,30.60482830504955
J群（社会学）,16.194659741917743,15.700349210851762,37.27496311296133,36.25839376974673
基礎教育学,11.218768547115376,1.4998333443778729,16.64165158921733,52.956946349149135
比較教育社会学,2.7134704111820303,2.6552260211843195,9.604373092024769,9.36714024741217
教育実践・政策学,6.645091325003655,5.908869410426751,27.413147250570628,23.71828662866912
教育心理学,25.575957284623243,23.106017347077707,5.204267230498139,7.7400420721986904
身体教育学,0.0,0.0,82.49391893008563,0.9455931090130948
薬学部,563.8565286061727,25.527086822773448,20.97082052917712,0.18687482819740894
医学,32.25030928078763,25.178390568221808,13.84232749641585,31.163542634463553
健康総合科学,102.97258748521138,0.9993354920163455,21.93489488351939,0.0
超域文化科学,17.343293394783302,14.030849823486838,4.980525325545798,9.188098931408916
地域文化研究,64.42346861368101,29.681345549398422,14.540447190179485,167.6587652131752
総合社会科学,63.53312759451933,54.3963827014765,4.359976731841346,13.656016210197961
数理自然科学,15.569952455083818,15.132414101851317,0.0,0.0
物質基礎科学,25.087972491762816,24.3371467906362,0.0,0.0
