学部番号,学部,学科,学科2,第1段階指定1科類,第1段階指定1枠数,第1段階指定2科類,第1段階指定2枠数,第1段階指定3科類,第1段階指定3枠数,内定第1段階指定1科類,残指定1枠数,内定指定2科類,残指定2枠数,内定指定3科類,残指定3枠数,第１志望者（合計）,１志（文１）,１志（文２）,１志（文３）,１志（理１）,１志（理２）,１志（理３）,第１内定者（合計）,１内（文１）,１内（文２）,１内（文３）,１内（理１）,１内（理２）,１内（理３）,第１志望者（合計）,１志全（文１）,１志全（文２）,１志全（文３）,１志全（理１）,１志全（理２）,１志全（理３）,第１内定者（合計）,１内全（文１）,１内全（文２）,１内全（文３）,１内全（理１）,１内全（理２）,１内全（理３）,,第二段階指定1科類,第二段階指定1枠数,指定1使用,指定1底点,指定1点数,指定1学籍番号,第二段階指定2科類,第二段階指定2枠数,指定2使用,指定2底点,指定2点数,指定2学籍番号,第二段階指定3科類,第二段階指定3枠数,指定3使用,指定3底点,指定3点数,指定3学籍番号,第二段階指定4科類,第二段階指定4枠数,指定4使用,指定4底点,指定4点数,指定4学籍番号,,第１志望者（合計）,２志（文１）,２志（文２）,２志（文３）,２志（理１）,２志（理２）,２志（理３）,第１内定者（合計）,１内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,第２志望者（合計）,２志全（文１）,２志全（文２）,２志全（文３）,２志全（理１）,２志全（理２）,２志全（理３）,第２内定者（合計）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）,学部番号,学部,学科,学科2
0,降年,降年,降年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123456,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,降年,降年,降年
1,法学部,法学部,法学部,1,265,456,4,123456,12,0,265,0,4,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,88,0,88,0,0,23,2,0,2,0,0,456,2,0,2,0,0,123456,35,0,35,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,法学部,法学部,法学部
2,経済学部,経済学部,経済学部,2,197,456,7,123456,42,0,197,0,7,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,86,0,86,0,0,456,3,0,3,0,0,0,0,0,0,0,0,123456,18,0,18,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,経済学部,経済学部,経済学部
3,文学部,人文学科,A群（思想文化）,3,40,,,123456,9,0,40,0,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,12,0,12,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,文学部,人文学科,A群（思想文化）
4,文学部,人文学科,B群（歴史文化_日本史学）,3,10,,,123456,2,0,10,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,4,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,文学部,人文学科,B群（歴史文化_日本史学）
5,文学部,人文学科,C群（歴史文化_東洋史学）,3,13,,,123456,2,0,13,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,6,0,6,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,文学部,人文学科,C群（歴史文化_東洋史学）
6,文学部,人文学科,D群（歴史文化_西洋史学）,3,16,,,123456,2,0,16,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,5,0,5,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,文学部,人文学科,D群（歴史文化_西洋史学）
7,文学部,人文学科,E群（歴史文化_考古学）,3,4,,,123456,1,0,4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,文学部,人文学科,E群（歴史文化_考古学）
8,文学部,人文学科,F群（歴史文化_美術史学）,3,9,,,123456,2,0,9,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,文学部,人文学科,F群（歴史文化_美術史学）
9,文学部,人文学科,G群（言語文化）,3,59,,,123456,14,0,59,0,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,15,0,15,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,文学部,人文学科,G群（言語文化）
10,文学部,人文学科,H群（心理学）,3,15,,,123456,2,0,15,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,4,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,文学部,人文学科,H群（心理学）
11,文学部,人文学科,I群（社会心理学）,3,12,,,123456,2,0,12,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,文学部,人文学科,I群（社会心理学）
12,文学部,人文学科,J群（社会学）,3,25,,,123456,8,0,25,0,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,7,0,7,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,文学部,人文学科,J群（社会学）
